#H_Fe[T] err_H_Fe[T] B[mT] err_B[mT]
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
1.48 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
1.48 0.07 -0.5 0.015
0E-20 0 0 0
-4.81 0.08 -0.5 0.015
-4.81 0.08 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
4.62 0.10 -0.5 0.015
1.48 0.07 -0.5 0.015
1.48 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-1.67 0.07 -0.5 0.015
-36.6 0.5 -2.5 0.075
-124.6 1.9 -10 0.3
-200 3 -18.5 0.555
-322 5 -31.5 0.945
-403 7 -41.5 1.245
-502 9 -53.5 1.605
-591 10 -64 1.92
-691 12 -76 2.28
-845 15 -94 2.82
-979 18 -112.5 3.375
-1103 20 -128 3.84
-1211 22 -141.5 4.245
-1319 24 -156 4.68
-1410 30 -168.5 5.055
-1490 30 -178.5 5.355
-1590 30 -191 5.73
-1680 30 -202 6.06
-1720 30 -208 6.24
-1790 30 -216.5 6.495
-1870 40 -226.5 6.795
-1970 40 -239 7.17
-2060 40 -252.5 7.575
-2070 40 -254.5 7.635
-2070 40 -255 7.65
-2070 40 -255 7.65
-2080 40 -255.5 7.665
-2290 40 -275.5 8.265
-2550 50 -307 9.21
-2740 50 -330 9.9
-2790 50 -338 10.14
-2900 50 -350 10.5
-3100 60 -371.5 11.145
-3300 60 -393.5 11.805
-3460 60 -411 12.33
-3590 70 -426 12.78
-3780 70 -445 13.35
-3910 70 -460.5 13.815
-4040 70 -474 14.22
-4130 80 -484.5 14.535
-4240 80 -495.5 14.865
-4360 80 -507.5 15.225
-4450 80 -518 15.54
-4560 80 -528.5 15.855
-4660 90 -539 16.17
-4690 90 -544 16.32
-4720 90 -547 16.41
-4770 90 -551.5 16.545
-4820 90 -556.5 16.695
-4860 90 -561.5 16.845
-4890 90 -564 16.92
-4950 90 -569.5 17.085
-5060 90 -579.5 17.385
-5100 90 -584.5 17.535
-5120 90 -587 17.61
-5170 90 -591.5 17.745
-5260 100 -599.5 17.985
-5350 100 -608 18.24
-5470 100 -619 18.57
-5530 100 -626 18.78
-5650 100 -636 19.08
-5830 100 -650.5 19.515
-6030 110 -668 20.04
-6200 110 -686 20.58
-6290 110 -696 20.88
-6360 110 -704 21.12
-6410 110 -709.5 21.285
-6510 120 -717 21.51
-6600 120 -725 21.75
-6640 120 -731 21.93
-6680 120 -734 22.02
-6690 120 -736.5 22.095
-6700 120 -737.5 22.125
-6710 120 -738.5 22.155
-6720 120 -739.5 22.185
-6720 120 -740 22.2
-6720 120 -740 22.2
-6720 120 -740 22.2
-6720 120 -740 22.2
-6730 120 -740.5 22.215
-6730 120 -740.5 22.215
-6730 120 -740.5 22.215
-6730 120 -741 22.23
-6730 120 -740.5 22.215
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741 22.23
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741 22.23
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741 22.23
-6720 120 -741 22.23
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741 22.23
-6730 120 -741 22.23
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6730 120 -741.5 22.245
-6740 120 -741.5 22.245
-6680 120 -740 22.2
-6540 120 -733.5 22.005
-6330 110 -722.5 21.675
-6090 110 -708.5 21.255
-5790 110 -688 20.64
-5600 100 -672 20.16
-5390 100 -655 19.65
-5180 100 -637 19.11
-4980 100 -619.5 18.585
-4810 90 -603.5 18.105
-4670 90 -589.5 17.685
-4550 90 -578 17.34
-4400 90 -564 16.92
-4170 80 -544 16.32
-3950 80 -522 15.66
-3730 80 -499.5 14.985
-3550 70 -479.5 14.385
-3340 70 -458.5 13.755
-3090 60 -432 12.96
-2720 60 -393 11.79
-2370 50 -352 10.56
-2070 50 -314.5 9.435
-1870 40 -288.5 8.655
-1680 40 -264 7.92
-1540 40 -244.5 7.335
-1430 30 -231 6.93
-1290 30 -211.5 6.345
-1180 30 -197.5 5.925
-1090 30 -186 5.58
-973 24 -171 5.13
-818 21 -152 4.56
-678 18 -132.5 3.975
-514 15 -112.5 3.375
-361 12 -93 2.79
-250 10 -76 2.28
-235 9 -70.5 2.115
-229 9 -68.5 2.055
-225 9 -67.5 2.025
-222 9 -66.5 1.995
-227 9 -66 1.98
-223 9 -66 1.98
-219 9 -65.5 1.965
-219 9 -65.5 1.965
-219 9 -65.5 1.965
-220 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-223 9 -65 1.95
-220 9 -65 1.95
-220 9 -65 1.95
-214 9 -65 1.95
-214 9 -65 1.95
-220 9 -65 1.95
-223 9 -65 1.95
-217 9 -65 1.95
-214 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-214 9 -65 1.95
-214 9 -65 1.95
-214 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-220 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-217 9 -65 1.95
-220 9 -65 1.95
-220 9 -65 1.95
-220 9 -65 1.95
-217 9 -65 1.95
-223 9 -65 1.95
-217 9 -65 1.95
-78 7 -54.5 1.635
84 5 -35 1.05
273 4 -11.5 0.345
434 6 9.5 0.285
725 10 42 1.26
1038 16 82 2.46
1140 18 100.5 3.015
1189 19 109.5 3.285
1239 20 117 3.51
1318 22 125.5 3.765
1413 23 137 4.11
1510 30 149 4.47
1600 30 160 4.8
1680 30 170.5 5.115
1790 30 183.5 5.505
1900 30 198 5.94
2080 40 217 6.51
2270 40 240 7.2
2460 40 262.5 7.875
2680 50 288 8.64
2890 50 314 9.42
3110 60 339.5 10.185
3320 60 364.5 10.935
3550 60 391 11.73
3760 70 416.5 12.495
3960 70 440 13.2
4160 70 463 13.89
4400 80 488.5 14.655
4650 80 516 15.48
4890 90 541.5 16.245
5190 90 572 17.16
5440 100 599.5 17.985
5750 100 628.5 18.855
6070 110 661 19.83
6280 110 684.5 20.535
6420 110 700.5 21.015
6500 120 711.5 21.345
6560 120 718.5 21.555
6590 120 723 21.69
6620 120 726 21.78
6630 120 728 21.84
6640 120 729 21.87
6650 120 730 21.9
6650 120 730.5 21.915
6660 120 731 21.93
6660 120 731 21.93
6660 120 731.5 21.945
6660 120 731.5 21.945
6660 120 731.5 21.945
6660 120 732 21.96
6670 120 732 21.96
6670 120 732 21.96
6670 120 732 21.96
6670 120 732 21.96
6670 120 732 21.96
6660 120 732 21.96
6670 120 732 21.96
6660 120 732 21.96
6670 120 732 21.96
6670 120 732 21.96
6680 120 732.5 21.975
6680 120 733 21.99
6680 120 733 21.99
6680 120 733 21.99
6680 120 733.5 22.005
6690 120 733.5 22.005
6680 120 733.5 22.005
6680 120 733.5 22.005
6680 120 733.5 22.005
6680 120 733 21.99
6680 120 734 22.02
6680 120 733.5 22.005
6680 120 733.5 22.005
6680 120 733.5 22.005
6690 120 733.5 22.005
6680 120 733.5 22.005
6680 120 734 22.02
6680 120 733.5 22.005
6680 120 733.5 22.005
6680 120 733.5 22.005
6560 120 729 21.87
6450 120 723 21.69
6320 110 716 21.48
6150 110 706 21.18
5990 110 695.5 20.865
5820 110 684 20.52
5700 110 673.5 20.205
5530 100 661.5 19.845
5410 100 650 19.5
5300 100 640.5 19.215
5230 100 633.5 19.005
5100 100 623 18.69
4960 90 611.5 18.345
4890 90 603.5 18.105
4830 90 597 17.91
4730 90 588.5 17.655
4610 90 577.5 17.325
4440 90 563.5 16.905
4340 80 551.5 16.545
4240 80 542 16.26
4150 80 532.5 15.975
4060 80 523.5 15.705
3940 80 512 15.36
3760 70 495 14.85
3610 70 479 14.37
3480 70 465 13.95
3330 70 449.5 13.485
3180 60 433 12.99
2990 60 413 12.39
2790 60 391 11.73
2610 50 370 11.1
2440 50 350 10.5
2250 50 328.5 9.855
2060 40 305 9.15
1830 40 276.5 8.295
1700 40 259 7.77
1580 40 244 7.32
1400 30 221.5 6.645
1220 30 197.5 5.925
945 23 164.5 4.935
693 18 131.5 3.945
494 14 105.5 3.165
290 11 79.5 2.385
210 9 64 1.92
195 8 58.5 1.755
187 7 56 1.68
184 7 55 1.65
183 7 54 1.62
179 7 53.5 1.605
177 7 53 1.59
180 7 53 1.59
178 7 52.5 1.575
175 7 52.5 1.575
175 7 52.5 1.575
175 7 52.5 1.575
174 7 52 1.56
174 7 52 1.56
174 7 52 1.56
177 7 52 1.56
177 7 52 1.56
