#t[s] err_t[s] I[A] err_I[A] B[mT] err_B[mT] l_Fe[mm] err_l_Fe[mm] d[mm] err_d[mm]
0 0 0 0 -0.5 -0.015 477 4 2 0.05
0.1 0 0 0 -0.5 -0.015 477 4 2 0.05
0.2 0 0 0 -0.5 -0.015 477 4 2 0.05
0.3 0 0 0 -0.5 -0.015 477 4 2 0.05
0.4 0 0 0 -0.5 -0.015 477 4 2 0.05
0.5 0 0 0 -0.5 -0.015 477 4 2 0.05
0.6 0 0.0015 1.5E-05 -0.5 -0.015 477 4 2 0.05
0.7 0 0 0 -0.5 -0.015 477 4 2 0.05
0.8 0 0.0015 1.5E-05 -0.5 -0.015 477 4 2 0.05
0.9 0 0 0 0 0 477 4 2 0.05
1 0 -0.0015 -1.5E-05 -0.5 -0.015 477 4 2 0.05
1.1 0 -0.0015 -1.5E-05 -0.5 -0.015 477 4 2 0.05
1.2 0 0 0 -0.5 -0.015 477 4 2 0.05
1.3 0 0 0 -0.5 -0.015 477 4 2 0.05
1.4 0 0.003 3E-05 -0.5 -0.015 477 4 2 0.05
1.5 0 0.0015 1.5E-05 -0.5 -0.015 477 4 2 0.05
1.6 0 0.0015 1.5E-05 -0.5 -0.015 477 4 2 0.05
1.7 0 0 0 -0.5 -0.015 477 4 2 0.05
1.8 0 0 0 -0.5 -0.015 477 4 2 0.05
1.9 0 -0.0135 -0.000135 -2.5 -0.075 477 4 2 0.05
2 0 -0.0435 -0.000435 -10 -0.3 477 4 2 0.05
2.1 0 -0.066 -0.00066 -18.5 -0.555 477 4 2 0.05
2.2 0 -0.1035 -0.001035 -31.5 -0.945 477 4 2 0.05
2.3 0 -0.126 -0.00126 -41.5 -1.245 477 4 2 0.05
2.4 0 -0.1545 -0.001545 -53.5 -1.605 477 4 2 0.05
2.5 0 -0.18 -0.0018 -64 -1.92 477 4 2 0.05
2.6 0 -0.2085 -0.002085 -76 -2.28 477 4 2 0.05
2.7 0 -0.2535 -0.002535 -94 -2.82 477 4 2 0.05
2.8 0 -0.288 -0.00288 -112.5 -3.375 477 4 2 0.05
2.9 0 -0.3225 -0.003225 -128 -3.84 477 4 2 0.05
