#H_Fe[T] err_H_Fe[T]
1.48 0.07
3.14 0.04
0E-20 0
0E-20 0
0E-20 0
6.29 0.08
0E-20 0
0E-20 0
-1.67 0.07
0E-20 0
-3.14 0.04
3.14 0.04
0E-20 0
0E-20 0
3.14 0.04
0E-20 0
0E-20 0
-1.67 0.07
0E-20 0
-25.0 0.4
-108.1 2.1
-191 4
-259 6
-307 9
-317 10
-325 11
-358 12
-387 14
-408 16
-421 18
-428 19
-437 20
-460 22
-473 24
-480 30
-480 30
-500 30
-540 30
-560 30
-560 30
-570 40
-580 40
-610 40
-610 40
-610 40
-630 40
-660 40
-680 50
-700 50
-710 50
-720 50
-730 50
-750 50
-760 50
-780 50
-800 60
-820 60
-830 60
-860 60
-880 60
-880 60
-900 60
-910 70
-920 70
-930 70
-950 70
-960 70
-1000 70
-1020 70
-1030 70
-1050 70
-1060 70
-1080 80
-1070 80
-1100 80
-1120 80
-1110 80
-1150 80
-1170 80
-1170 80
-1190 80
-1210 80
-1240 80
-1270 80
-1280 90
-1290 90
-1330 90
-1350 90
-1380 90
-1400 90
-1430 90
-1470 90
-1520 100
-1570 100
-1580 100
-1600 100
-1640 100
-1650 100
-1670 100
-1690 100
-1710 100
-1740 100
-1760 110
-1790 110
-1810 110
-1830 110
-1840 110
-1850 110
-1860 110
-1840 110
-1840 110
-1840 110
-1850 110
-1850 110
-1850 110
-1860 110
-1920 110
-2000 110
-2060 110
-2090 120
-2110 120
-2170 120
-2220 120
-2240 120
-2250 120
-2250 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2250 120
-2260 120
-2250 120
-2260 120
-2250 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2250 120
-2260 120
-2250 120
-2250 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2260 120
-2290 120
-2310 120
-2330 120
-2370 120
-2400 130
-2440 130
-2460 130
-2500 130
-2520 130
-2540 130
-2540 130
-2550 130
-2550 130
-2560 130
-2580 130
-2580 130
-2580 130
-2610 130
-2630 130
-2640 130
-2650 130
-2660 130
-2670 130
-2680 130
-2690 130
-2700 130
-2710 130
-2720 130
-2730 130
-2740 130
-2740 130
-2750 130
-2760 130
-2770 130
-2780 140
-2780 140
-2780 140
-2780 140
-2790 140
-2790 140
-2790 140
-2810 140
-2810 140
-2820 140
-2830 140
-2840 140
-2860 140
-2860 140
-2870 140
-2890 140
-2900 140
-2900 140
-2910 140
-2930 140
-2950 140
-2970 140
-2970 140
-2980 140
-2980 140
-2980 140
-2970 140
-2970 140
-2970 140
-2980 140
-2970 140
-2990 140
-3020 140
-3040 140
-3070 140
-3080 140
-3100 140
-3110 140
-3120 140
-3120 140
-3130 140
-3130 140
-3130 140
-3140 140
-3130 140
-3140 140
-3140 140
-3130 140
-3140 140
-3130 140
-3100 140
