#H_Fe[T] err_H_Fe[T]
1.67 0.07
1.67 0.07
1.67 0.07
1.67 0.07
1.67 0.07
1.67 0.07
4.81 0.08
1.67 0.07
4.81 0.08
0E-20 0
-1.48 0.07
-1.48 0.07
1.67 0.07
1.67 0.07
7.96 0.11
4.81 0.08
4.81 0.08
1.67 0.07
1.67 0.07
-20.0 0.5
-57.8 1.7
-77 3
-112 5
-126 6
-145 8
-164 9
-184 11
-218 13
-228 16
-249 18
-267 20
-278 22
-290 24
-300 30
-310 30
-330 30
-330 30
-340 30
-360 30
-380 30
-380 40
-370 40
-370 40
-370 40
-380 40
-450 40
-500 40
-540 50
-530 50
-570 50
-630 50
-670 60
-710 60
-750 60
-810 60
-840 60
-870 70
-900 70
-930 70
-980 70
-1000 70
-1040 70
-1060 80
-1060 80
-1070 80
-1090 80
-1110 80
-1120 80
-1120 80
-1150 80
-1190 80
-1200 80
-1200 80
-1230 80
-1260 90
-1300 90
-1340 90
-1350 90
-1410 90
-1490 90
-1570 100
-1620 100
-1640 100
-1670 100
-1680 100
-1730 100
-1760 100
-1770 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1790 110
-1790 110
-1790 110
-1780 110
-1780 110
-1780 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1780 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1790 110
-1780 110
-1790 110
-1790 110
-1790 110
-1780 110
-1780 110
-1780 110
-1790 110
-1790 110
-1790 110
-1780 110
-1780 110
-1780 110
-1780 110
-1790 110
-1780 110
-1790 110
-1780 110
-1790 110
-1780 110
-1790 110
-1790 110
-1780 110
-1790 110
-1780 110
-1790 110
-1790 110
-1790 110
-1780 110
-1790 110
-1780 110
-1780 110
-1780 110
-1780 110
-1790 110
-1780 110
-1780 110
-1790 110
-1780 110
-1780 110
-1780 110
-1790 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1790 110
-1790 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1790 110
-1780 110
-1780 110
-1780 110
-1790 110
-1740 110
-1650 100
-1510 100
-1360 100
-1190 100
-1110 90
-1020 90
-920 90
-840 90
-780 80
-740 80
-690 80
-640 80
-540 70
-470 70
-400 70
-350 70
-280 60
-210 60
-100 50
-20 50
30 40
60 40
90 40
90 30
110 30
120 30
140 30
149 25
168 23
196 20
206 18
237 15
260 12
257 10
235 9
229 9
225 9
222 9
214 9
217 9
219 9
219 9
219 9
214 9
217 9
217 9
217 9
217 9
211 9
214 9
214 9
220 9
220 9
214 9
211 9
217 9
220 9
217 9
217 9
217 9
220 9
220 9
220 9
217 9
217 9
214 9
217 9
217 9
217 9
214 9
214 9
214 9
217 9
211 9
217 9
286 8
318 6
350 5
371 5
445 9
491 14
470 16
459 17
459 18
481 19
499 21
515 22
529 24
540 30
560 30
580 30
630 30
670 30
710 40
760 40
800 50
840 50
890 50
940 60
980 60
1030 60
1070 70
1140 70
1210 70
1270 80
1380 80
1440 90
1550 90
1660 100
1710 100
1740 100
1750 100
1760 100
1770 100
1780 100
1770 100
1780 100
1770 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1780 110
1790 110
1780 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1780 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1690 100
1620 100
1540 100
1440 100
1350 100
1260 100
1200 90
1120 90
1070 90
1020 90
1000 90
940 90
880 90
860 80
850 80
800 80
760 80
680 80
660 80
620 70
590 70
560 70
520 70
460 70
420 70
380 60
330 60
290 60
240 60
180 50
140 50
110 50
60 40
30 40
-20 40
-20 30
-40 30
-80 30
-100 30
-153 22
-184 17
-210 14
-240 11
-217 9
-195 8
-187 7
-184 7
-177 7
-179 7
-177 7
-174 7
-172 7
-175 7
-175 7
-175 7
-174 7
-174 7
-174 7
-170 7
-170 7
-175 7
-174 7
-174 7
-170 7
-174 7
-174 7
-177 7
-174 7
-172 7
-174 7
-174 7
-174 7
-170 7
-170 7
-174 7
-174 7
-177 7
-177 7
-181 7
-250 6
-288 4
-319 5
-339 6
-375 10
-408 13
-457 17
-520 22
-530 25
-540 30
-570 30
-600 30
-640 40
-680 40
-700 40
-720 50
-750 50
-780 50
-800 50
-820 60
-850 60
-860 60
-890 60
-900 60
-960 70
-1010 70
-1040 70
-1070 70
-1120 80
-1170 80
-1200 80
-1230 80
-1290 80
-1350 90
-1390 90
-1480 90
-1550 100
-1630 100
-1690 100
-1740 100
-1750 100
-1760 110
-1770 110
-1770 110
-1780 110
-1770 110
-1770 110
-1770 110
-1780 110
-1770 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1780 110
-1630 110
-1500 100
-1410 100
-1340 100
-1210 100
-1060 90
-980 90
-920 90
-840 90
-770 80
-720 80
-650 80
-590 80
-550 70
-510 70
-490 70
-450 70
-420 70
-390 70
-360 60
-310 60
-260 60
-210 60
-170 60
-140 50
-100 50
-60 50
-30 50
10 40
50 40
80 40
110 30
130 30
180 30
214 21
256 16
280 12
249 10
229 9
220 9
219 9
215 9
217 9
214 9
212 8
210 8
213 8
210 8
210 8
209 8
210 8
210 8
213 8
209 8
212 8
209 8
209 8
207 8
210 8
205 8
210 8
210 8
213 8
209 8
205 8
207 8
209 8
209 8
281 8
349 5
436 7
474 11
481 15
478 17
500 19
526 21
544 24
570 30
610 30
650 30
700 40
730 40
770 40
830 50
890 50
910 60
920 60
960 60
980 60
1040 70
1100 70
1170 70
1220 80
1300 80
1360 80
1410 90
1480 90
1560 90
1630 100
1690 100
1740 100
1750 100
1770 100
1770 100
1770 100
1780 100
1780 100
1780 100
1780 100
1780 110
1780 110
1780 110
1780 110
1790 110
1780 110
1780 110
1780 110
1790 110
1780 110
1780 110
1780 110
1790 110
1780 110
1790 110
1790 110
1790 110
1790 110
1780 110
1790 110
1790 110
1780 110
1780 110
1780 110
1710 100
1570 100
1410 100
1250 100
1230 100
1200 90
1120 90
1070 90
1010 90
930 90
840 80
780 80
720 80
640 80
600 70
560 70
500 70
410 70
350 60
320 60
290 60
220 60
200 50
190 50
130 50
80 50
50 40
20 40
-10 40
-20 30
-60 30
-70 30
-90 30
-127 24
-152 20
-146 18
-153 17
-172 15
-173 14
-167 13
-188 12
-194 10
-204 9
-202 8
-187 8
-189 8
-187 7
-180 7
-184 7
-179 7
-182 7
-177 7
-180 7
-179 7
-180 7
-180 7
-177 7
-180 7
-180 7
-180 7
-177 7
-180 7
-177 7
-183 7
-183 7
-180 7
-180 7
-177 7
-183 7
-249 5
-269 4
-300 4
-431 9
-461 15
-406 17
-397 18
-405 19
-438 20
-484 23
-520 30
-570 30
-630 30
-690 40
-740 40
-810 50
-870 50
-920 60
-960 60
-1020 60
-1100 70
-1170 70
-1230 80
-1340 80
-1440 90
-1530 90
-1640 100
-1710 100
-1730 100
-1750 100
-1750 110
-1770 110
-1760 110
-1770 110
-1770 110
-1770 110
-1780 110
-1770 110
-1770 110
-1770 110
-1780 110
-1770 110
-1770 110
-1780 110
-1780 110
-1780 110
-1780 110
-1770 110
-1770 110
-1770 110
-1770 110
-1770 110
-1770 110
-1680 110
-1470 100
-1260 100
-1020 90
-820 90
-680 80
-590 80
-500 70
-400 70
-320 70
-210 60
-140 60
-70 50
10 50
80 40
160 30
240 24
275 17
289 13
259 10
240 9
228 9
217 9
214 9
210 8
215 8
210 8
207 8
205 8
205 8
205 8
205 8
205 8
205 8
208 8
202 8
205 8
204 8
199 8
205 8
205 8
204 8
204 8
207 8
200 8
204 8
204 8
204 8
200 8
207 8
204 8
202 8
204 8
324 6
373 5
445 8
527 14
607 21
670 30
740 30
820 40
900 50
950 50
1010 60
1070 60
1170 70
1280 70
1410 80
1580 90
1690 90
1720 100
1740 100
1750 100
1760 100
1770 100
1770 100
1770 100
1780 100
1780 100
1780 110
1780 110
1780 110
1770 110
1770 110
1770 110
1770 110
1780 110
1780 110
1780 110
1750 100
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1790 110
1800 110
