#t[s] err_t[s] I[A] err_I[A] B[mT] err_B[mT] l_Fe[mm] err_l_Fe[mm] d[mm] err_d[mm]
0 0 0.0015 1.5E-05 0.5 0.015 477 4 2 0.05
0.1 0 0.0015 1.5E-05 0 0 477 4 2 0.05
0.2 0 0 0 0 0 477 4 2 0.05
0.3 0 0 0 0 0 477 4 2 0.05
0.4 0 0 0 0 0 477 4 2 0.05
0.5 0 0.003 3E-05 0 0 477 4 2 0.05
0.6 0 0 0 0 0 477 4 2 0.05
0.7 0 0 0 0 0 477 4 2 0.05
0.8 0 0 0 0.5 0.015 477 4 2 0.05
0.9 0 0 0 0 0 477 4 2 0.05
1 0 -0.0015 -1.5E-05 0 0 477 4 2 0.05
1.1 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.2 0 0 0 0 0 477 4 2 0.05
1.3 0 0 0 0 0 477 4 2 0.05
1.4 0 0.0015 1.5E-05 0 0 477 4 2 0.05
1.5 0 0 0 0 0 477 4 2 0.05
1.6 0 0 0 0 0 477 4 2 0.05
1.7 0 0 0 0.5 0.015 477 4 2 0.05
1.8 0 0 0 0 0 477 4 2 0.05
1.9 0 -0.0135 -0.000135 -1 -0.03 477 4 2 0.05
2 0 -0.0675 -0.000675 -10 -0.3 477 4 2 0.05
2.1 0 -0.126 -0.00126 -22 -0.66 477 4 2 0.05
2.2 0 -0.1815 -0.001815 -36.5 -1.095 477 4 2 0.05
2.3 0 -0.231 -0.00231 -53 -1.59 477 4 2 0.05
2.4 0 -0.2505 -0.002505 -62.5 -1.875 477 4 2 0.05
2.5 0 -0.2625 -0.002625 -67.5 -2.025 477 4 2 0.05
2.6 0 -0.2925 -0.002925 -76.5 -2.295 477 4 2 0.05
2.7 0 -0.327 -0.00327 -89.5 -2.685 477 4 2 0.05
2.8 0 -0.36 -0.0036 -104 -3.12 477 4 2 0.05
2.9 0 -0.387 -0.00387 -117 -3.51 477 4 2 0.05
3 0 -0.408 -0.00408 -128 -3.84 477 4 2 0.05
3.1 0 -0.4275 -0.004275 -137.5 -4.125 477 4 2 0.05
3.2 0 -0.4575 -0.004575 -149.5 -4.485 477 4 2 0.05
3.3 0 -0.486 -0.00486 -163.5 -4.905 477 4 2 0.05
3.4 0 -0.5085 -0.005085 -175 -5.25 477 4 2 0.05
3.5 0 -0.5205 -0.005205 -182 -5.46 477 4 2 0.05
3.6 0 -0.5445 -0.005445 -192 -5.76 477 4 2 0.05
3.7 0 -0.5835 -0.005835 -206 -6.18 477 4 2 0.05
3.8 0 -0.624 -0.00624 -223.5 -6.705 477 4 2 0.05
3.9 0 -0.642 -0.00642 -236 -7.08 477 4 2 0.05
4 0 -0.66 -0.0066 -244.5 -7.335 477 4 2 0.05
4.1 0 -0.6825 -0.006825 -253.5 -7.605 477 4 2 0.05
4.2 0 -0.7125 -0.007125 -266 -7.98 477 4 2 0.05
4.3 0 -0.7275 -0.007275 -274.5 -8.235 477 4 2 0.05
4.4 0 -0.7425 -0.007425 -283 -8.49 477 4 2 0.05
4.5 0 -0.765 -0.00765 -292 -8.76 477 4 2 0.05
4.6 0 -0.7995 -0.007995 -305 -9.15 477 4 2 0.05
4.7 0 -0.8295 -0.008295 -317.5 -9.525 477 4 2 0.05
4.8 0 -0.8565 -0.008565 -329.5 -9.885 477 4 2 0.05
4.9 0 -0.882 -0.00882 -340.5 -10.215 477 4 2 0.05
5 0 -0.8985 -0.008985 -349.5 -10.485 477 4 2 0.05
5.1 0 -0.9165 -0.009165 -358 -10.74 477 4 2 0.05
5.2 0 -0.948 -0.00948 -370 -11.1 477 4 2 0.05
5.3 0 -0.9675 -0.009675 -379 -11.37 477 4 2 0.05
5.4 0 -0.987 -0.00987 -387 -11.61 477 4 2 0.05
5.5 0 -1.0125 -0.010125 -397 -11.91 477 4 2 0.05
5.6 0 -1.041 -0.01041 -408 -12.24 477 4 2 0.05
5.7 0 -1.0635 -0.010635 -418 -12.54 477 4 2 0.05
5.8 0 -1.0935 -0.010935 -428.5 -12.855 477 4 2 0.05
5.9 0 -1.1145 -0.011145 -438 -13.14 477 4 2 0.05
6 0 -1.131 -0.01131 -446 -13.38 477 4 2 0.05
6.1 0 -1.155 -0.01155 -454.5 -13.635 477 4 2 0.05
6.2 0 -1.1655 -0.011655 -460.5 -13.815 477 4 2 0.05
6.3 0 -1.1835 -0.011835 -468 -14.04 477 4 2 0.05
6.4 0 -1.197 -0.01197 -473.5 -14.205 477 4 2 0.05
6.5 0 -1.2165 -0.012165 -481 -14.43 477 4 2 0.05
6.6 0 -1.2345 -0.012345 -486.5 -14.595 477 4 2 0.05
6.7 0 -1.266 -0.01266 -497 -14.91 477 4 2 0.05
6.8 0 -1.29 -0.0129 -505.5 -15.165 477 4 2 0.05
6.9 0 -1.3035 -0.013035 -511.5 -15.345 477 4 2 0.05
7 0 -1.3245 -0.013245 -519 -15.57 477 4 2 0.05
7.1 0 -1.344 -0.01344 -526.5 -15.795 477 4 2 0.05
7.2 0 -1.3635 -0.013635 -533.5 -16.005 477 4 2 0.05
7.3 0 -1.368 -0.01368 -537.5 -16.125 477 4 2 0.05
7.4 0 -1.386 -0.01386 -541.5 -16.245 477 4 2 0.05
