#H_Fe[T] err_H_Fe[T]
-1.67 0.07
-1.67 0.07
-1.67 0.07
-1.67 0.07
-1.67 0.07
-1.67 0.07
1.48 0.07
-1.67 0.07
1.48 0.07
0E-20 0
-4.81 0.08
-4.81 0.08
-1.67 0.07
-1.67 0.07
4.62 0.10
1.48 0.07
1.48 0.07
-1.67 0.07
-1.67 0.07
-36.6 0.5
-124.6 1.9
-200 3
-322 5
-403 7
-502 9
-591 10
-691 12
-845 15
-979 18
-1103 20
-1211 22
-1319 24
-1410 30
-1490 30
-1590 30
-1680 30
-1720 30
-1790 30
-1870 40
-1970 40
-2060 40
-2070 40
-2070 40
-2070 40
-2080 40
-2290 40
-2550 50
-2740 50
-2790 50
-2900 50
-3100 60
-3300 60
-3460 60
-3590 70
-3780 70
-3910 70
-4040 70
-4130 80
-4240 80
-4360 80
-4450 80
-4560 80
-4660 90
-4690 90
-4720 90
-4770 90
-4820 90
-4860 90
-4890 90
-4950 90
-5060 90
-5100 90
-5120 90
-5170 90
-5260 100
-5350 100
-5470 100
-5530 100
-5650 100
-5830 100
-6030 110
-6200 110
-6290 110
-6360 110
-6410 110
-6510 120
-6600 120
-6640 120
-6680 120
-6690 120
-6700 120
-6710 120
-6720 120
-6720 120
-6720 120
-6720 120
-6720 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6740 120
-6730 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6730 120
-6730 120
-6730 120
-6740 120
-6730 120
-6730 120
-6730 120
-6740 120
-6740 120
-6740 120
-6730 120
-6730 120
-6730 120
-6730 120
-6740 120
-6730 120
-6740 120
-6730 120
-6740 120
-6730 120
-6740 120
-6740 120
-6730 120
-6740 120
-6730 120
-6740 120
-6730 120
-6740 120
-6730 120
-6740 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6720 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6730 120
-6740 120
-6680 120
-6540 120
-6330 110
-6090 110
-5790 110
-5600 100
-5390 100
-5180 100
-4980 100
-4810 90
-4670 90
-4550 90
-4400 90
-4170 80
-3950 80
-3730 80
-3550 70
-3340 70
-3090 60
-2720 60
-2370 50
-2070 50
-1870 40
-1680 40
-1540 40
-1430 30
-1290 30
-1180 30
-1090 30
-973 24
-818 21
-678 18
-514 15
-361 12
-250 10
-235 9
-229 9
-225 9
-222 9
-227 9
-223 9
-219 9
-219 9
-219 9
-220 9
-217 9
-217 9
-217 9
-217 9
-223 9
-220 9
-220 9
-214 9
-214 9
-220 9
-223 9
-217 9
-214 9
-217 9
-217 9
-217 9
-214 9
-214 9
-214 9
-217 9
-217 9
-220 9
-217 9
-217 9
-217 9
-220 9
-220 9
-220 9
-217 9
-223 9
-217 9
-78 7
84 5
273 4
434 6
725 10
1038 16
1140 18
1189 19
1239 20
1318 22
1413 23
1510 30
1600 30
1680 30
1790 30
1900 30
2080 40
2270 40
2460 40
2680 50
2890 50
3110 60
3320 60
3550 60
3760 70
3960 70
4160 70
4400 80
4650 80
4890 90
5190 90
5440 100
5750 100
6070 110
6280 110
6420 110
6500 120
6560 120
6590 120
6620 120
6630 120
6640 120
6650 120
6650 120
6660 120
6660 120
6660 120
6660 120
6660 120
6660 120
6670 120
6670 120
6670 120
6670 120
6670 120
6660 120
6670 120
6660 120
6670 120
6670 120
6680 120
6680 120
6680 120
6680 120
6680 120
6690 120
6680 120
6680 120
6680 120
6680 120
6680 120
6680 120
6680 120
6680 120
6690 120
6680 120
6680 120
6680 120
6680 120
6680 120
6560 120
6450 120
6320 110
6150 110
5990 110
5820 110
5700 110
5530 100
5410 100
5300 100
5230 100
5100 100
4960 90
4890 90
4830 90
4730 90
4610 90
4440 90
4340 80
4240 80
4150 80
4060 80
3940 80
3760 70
3610 70
3480 70
3330 70
3180 60
2990 60
2790 60
2610 50
2440 50
2250 50
2060 40
1830 40
1700 40
1580 40
1400 30
1220 30
945 23
693 18
494 14
290 11
210 9
195 8
187 7
184 7
183 7
179 7
177 7
180 7
178 7
175 7
175 7
175 7
174 7
174 7
174 7
177 7
177 7
175 7
174 7
174 7
177 7
174 7
174 7
170 7
174 7
178 7
174 7
174 7
174 7
177 7
177 7
174 7
174 7
170 7
170 7
162 7
11 5
-165 4
-379 5
-536 7
-738 11
-932 15
-1184 19
-1480 25
-1660 30
-1810 30
-1970 30
-2130 40
-2340 40
-2540 50
-2700 50
-2850 50
-3010 50
-3160 60
-3290 60
-3420 60
-3550 60
-3650 70
-3770 70
-3860 70
-4040 70
-4220 80
-4360 80
-4480 80
-4650 80
-4820 90
-4960 90
-5080 90
-5240 90
-5410 100
-5550 100
-5770 100
-5980 110
-6190 110
-6360 110
-6520 120
-6600 120
-6650 120
-6690 120
-6700 120
-6730 120
-6730 120
-6730 120
-6740 120
-6740 120
-6740 120
-6750 120
-6750 120
-6750 120
-6750 120
-6750 120
-6750 120
-6750 120
-6750 120
-6750 120
-6760 120
-6760 120
-6750 120
-6750 120
-6750 120
-6750 120
-6760 120
-6750 120
-6560 120
-6340 120
-6180 110
-6050 110
-5830 110
-5540 100
-5340 100
-5190 100
-4990 100
-4820 90
-4660 90
-4490 90
-4310 80
-4170 80
-4050 80
-3960 80
-3850 80
-3730 70
-3630 70
-3520 70
-3380 70
-3220 70
-3050 60
-2900 60
-2760 60
-2600 60
-2450 50
-2270 50
-2090 50
-1880 40
-1690 40
-1500 30
-1320 30
-1090 30
-824 22
-545 16
-317 12
-249 10
-235 9
-227 9
-219 9
-215 9
-210 9
-214 9
-212 8
-210 8
-207 8
-210 8
-210 8
-209 8
-210 8
-210 8
-207 8
-209 8
-205 8
-209 8
-209 8
-213 8
-210 8
-212 8
-210 8
-210 8
-207 8
-209 8
-212 8
-213 8
-209 8
-209 8
-86 7
186 4
589 8
891 13
1078 17
1189 19
1318 21
1467 24
1590 30
1750 30
1930 30
2140 40
2380 40
2580 50
2780 50
3030 50
3290 60
3470 60
3610 60
3770 70
3910 70
4110 70
4310 80
4550 80
4770 90
5010 90
5220 90
5420 100
5620 100
5850 100
6070 110
6250 110
6420 110
6500 120
6560 120
6590 120
6610 120
6630 120
6630 120
6640 120
6650 120
6650 120
6640 120
6650 120
6650 120
6660 120
6660 120
6650 120
6650 120
6670 120
6660 120
6660 120
6660 120
6670 120
6660 120
6670 120
6670 120
6670 120
6670 120
6660 120
6670 120
6670 120
6660 120
6660 120
6660 120
6570 120
6370 110
6110 110
5820 110
5730 110
5650 100
5520 100
5390 100
5270 100
5080 100
4880 90
4700 90
4550 90
4350 80
4180 80
4060 80
3900 80
3660 70
3420 70
3290 70
3160 60
2950 60
2810 60
2740 60
2560 50
2340 50
2150 50
1980 40
1840 40
1690 40
1490 30
1370 30
1240 30
1060 30
863 21
768 19
701 18
606 16
531 15
487 14
396 12
320 10
260 9
202 8
200 8
189 8
187 7
187 7
184 7
185 7
182 7
183 7
180 7
185 7
180 7
180 7
183 7
180 7
180 7
180 7
183 7
180 7
183 7
177 7
177 7
180 7
180 7
183 7
177 7
-2 5
-146 3
-310 4
-751 11
-1111 18
-1154 19
-1194 20
-1249 21
-1349 23
-1520 30
-1690 30
-1920 30
-2170 40
-2450 40
-2720 50
-3030 50
-3330 60
-3590 60
-3810 70
-4050 70
-4330 80
-4610 80
-4870 90
-5180 90
-5510 100
-5800 100
-6120 110
-6370 110
-6490 120
-6580 120
-6640 120
-6670 120
-6700 120
-6710 120
-6720 120
-6730 120
-6730 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6750 120
-6740 120
-6750 120
-6750 120
-6740 120
-6740 120
-6740 120
-6740 120
-6740 120
-6730 120
-6630 120
-6300 110
-5950 110
-5500 100
-5050 100
-4680 90
-4390 90
-4120 80
-3820 80
-3540 70
-3200 70
-2910 60
-2590 60
-2240 50
-1890 40
-1450 30
-951 25
-596 18
-352 13
-259 10
-227 9
-216 9
-210 9
-214 9
-210 8
-202 8
-204 8
-207 8
-205 8
-205 8
-205 8
-205 8
-205 8
-205 8
-202 8
-208 8
-205 8
-204 8
-211 8
-205 8
-205 8
-204 8
-204 8
-200 8
-207 8
-204 8
-204 8
-204 8
-207 8
-200 8
-204 8
-208 8
-204 8
47 6
319 4
668 9
1071 16
1481 24
1860 30
2240 40
2630 40
3010 50
3330 60
3640 60
3920 70
4280 80
4670 80
5100 90
5600 100
6010 110
6240 110
6380 110
6470 110
6530 120
6580 120
6600 120
6620 120
6630 120
6640 120
6650 120
6660 120
6650 120
6650 120
6650 120
6650 120
6650 120
6660 120
6650 120
6650 120
6610 120
6660 120
6670 120
6680 120
6680 120
6680 120
6680 120
6680 120
6680 120
6680 120
6690 120
