#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-1.4763633	0.073393	-0.5	0.015
-3.1446541	0.0410399	0	0
0	0	0	0
0	0	0	0
0	0	0	0
-6.2893082	0.0820799	0	0
0	0	0	0
0	0	0	0
1.6682908	0.066634	-0.5	0.015
0	0	0	0
3.1446541	0.0410399	0	0
-3.1446541	0.0410399	0	0
0	0	0	0
0	0	0	0
-3.1446541	0.0410399	0	0
0	0	0	0
0	0	0	0
1.6682908	0.066634	-0.5	0.015
0	0	0	0
24.9653052	0.3753741	1	0.03
108.1436178	2.1266509	10	0.3
190.7461478	4.2134582	22	0.66
258.7179157	6.4655574	36.5	1.095
307.4379039	8.8197918	53	1.59
316.6208817	10.0472323	62.5	1.875
325.0952063	10.7270799	67.5	2.025
357.9590535	12.0817779	76.5	2.295
386.9105365	13.9110265	89.5	2.685
407.712493	15.8832497	104	3.12
420.9407056	17.6263759	117	3.51
428.2634651	19.0845033	128	3.84
437.4464429	20.3656396	137.5	4.125
460.3005452	22.0531485	149.5	4.485
473.3368303	23.9459965	163.5	4.905
482.135953	25.4936369	175	5.25
483.9371144	26.4178276	182	5.46
500.8857637	27.8173488	192	5.76
535.9346273	29.8377869	206	6.18
562.4501094	32.2713805	223.5	6.705
558.4786883	33.8918693	236	7.08
567.8535936	35.0576933	244.5	7.335
584.9941704	36.3290558	253.5	7.605
606.1799819	38.0816978	266	7.98
609.2655791	39.2169803	274.5	8.235
612.3511762	40.3531875	283	8.49
629.491753	41.6250226	292	8.76
658.443236	43.4827462	305	9.15
679.6290476	45.2363495	317.5	9.525
696.1938417	46.9014952	329.5	9.885
712.9505635	48.4357179	340.5	10.215
717.5125239	49.6469507	349.5	10.485
726.8874292	50.8156363	358	10.74
752.8861857	52.5267785	370	11.1
763.7374543	53.7687776	379	11.37
777.9253045	54.8945199	387	11.61
798.0186078	56.3129442	397	11.91
821.0646377	57.8777082	408	12.24
834.8686329	59.2661931	418	12.54
862.7276077	60.7877274	428.5	12.855
875.0552395	62.1030403	438	13.14
882.9537816	63.1989937	446	13.38
904.9073032	64.4277562	454.5	13.635
906.9003922	65.2311638	460.5	13.815
919.6118791	66.2838404	468	14.04
929.562567	67.0587752	473.5	14.205
945.418708	68.1262948	481	14.43
964.8033582	68.9458298	486.5	14.595
995.8069871	70.4822112	497	14.91
1017.760509	71.7110938	505.5	15.165
1026.042906	72.5441657	511.5	15.345
1045.043701	73.6267164	519	15.57
1060.899842	74.6942847	526.5	15.795
1078.424274	75.7036964	533.5	16.005
1074.51191	76.2141139	537.5	16.125
1098.901432	76.8594866	541.5	16.245
1121.238809	77.8259378	548	16.44
1112.705427	78.2478486	551.5	16.545
1150.574147	79.4209803	559	16.77
1166.430288	80.4885755	566.5	16.995
1171.951886	81.0438294	570.5	17.115
1185.239156	81.7025575	575	17.25
1210.721186	82.6845126	581.5	17.445
1243.776961	83.9016625	589.5	17.685
1265.92241	84.9999278	597	17.91
1283.254915	86.1407548	605	18.15
1291.729239	86.8422645	610	18.3
1334.218976	88.1063278	618	18.54
1348.598754	89.1006916	625	18.75
1380.178166	90.2458162	632.5	18.975
1400.847251	91.2712734	639.5	19.185
1432.61859	92.2860361	646	19.38
1471.579818	93.7984111	656	19.68
1522.927735	95.5053017	667	20.01
1570.747143	97.458492	680	20.4
1575.692958	98.4048949	687	20.61
1601.174989	99.3894944	693.5	20.805
1640.328144	100.7727701	702.5	21.075
1648.802469	101.4737035	707.5	21.225
1671.523701	102.1815435	712	21.36
1686.287333	102.91458	717	21.51
1713.437655	103.8426075	723	21.69
1742.256268	104.7137563	728.5	21.855
1764.785572	105.5527127	734	22.02
1787.314876	106.3917869	739.5	22.185
1809.84418	107.2309762	745	22.35
1827.752467	107.9805884	750	22.5
1844.184391	108.6569143	754.5	22.635
1853.04257	109.0968952	757.5	22.725
1858.948024	109.3902175	759.5	22.785
1844.701116	109.3817712	760	22.8
1844.701116	109.3817712	760	22.8
1844.701116	109.3817712	760	22.8
1847.84577	109.3981007	760	22.8
1847.84577	109.3981007	760	22.8
1850.990425	109.4144432	760	22.8
1857.087805	109.5774562	761	22.83
1917.161031	110.7447283	767.5	23.025
1995.334471	112.5347903	778	23.34
2062.021803	114.5935041	791	23.73
2094.501795	116.2075242	802	24.06
2110.741792	117.0145407	807.5	24.225
2165.810145	118.3581026	815.5	24.465
2215.873626	119.8717411	825	24.75
2236.542712	120.8990061	832	24.96
2246.877255	121.4126401	835.5	25.065
2247.969763	121.7452758	838	25.14
2255.543507	121.9825213	839.5	25.185
2257.01987	122.0558974	840	25.2
2255.351579	122.1121535	840.5	25.215
2256.827943	122.1855291	841	25.23
2256.827943	122.1855291	841	25.23
2255.159652	122.2417953	841.5	25.245
2258.304306	122.2589048	841.5	25.245
2252.014998	122.2246972	841.5	25.245
2259.972597	122.2026495	841	25.23
2250.346707	122.2809846	842	25.26
2259.972597	122.2026495	841	25.23
2253.683289	122.1684202	841	25.23
2255.159652	122.2417953	841.5	25.245
2255.159652	122.2417953	841.5	25.245
2258.304306	122.2589048	841.5	25.245
2256.636015	122.3151705	842	25.26
2258.304306	122.2589048	841.5	25.245
2261.44896	122.2760256	841.5	25.245
2255.159652	122.2417953	841.5	25.245
2258.304306	122.2589048	841.5	25.245
2261.44896	122.2760256	841.5	25.245
2259.780669	122.3322804	842	25.26
2261.44896	122.2760256	841.5	25.245
2261.44896	122.2760256	841.5	25.245
2262.925323	122.3494018	842	25.26
2256.636015	122.3151705	842	25.26
2258.304306	122.2589048	841.5	25.245
2259.780669	122.3322804	842	25.26
2259.780669	122.3322804	842	25.26
2259.780669	122.3322804	842	25.26
2259.780669	122.3322804	842	25.26
2258.304306	122.2589048	841.5	25.245
2262.925323	122.3494018	842	25.26
2256.636015	122.3151705	842	25.26
2258.304306	122.2589048	841.5	25.245
2255.159652	122.2417953	841.5	25.245
2252.014998	122.2246972	841.5	25.245
