#H_Fe	err_H_Fe	B[mT]	err_B[mT]
696.1938417	46.9014952	329.5	9.885
712.9505635	48.4357179	340.5	10.215
717.5125239	49.6469507	349.5	10.485
726.8874292	50.8156363	358	10.74
752.8861857	52.5267785	370	11.1
763.7374543	53.7687776	379	11.37
777.9253045	54.8945199	387	11.61
798.0186078	56.3129442	397	11.91
821.0646377	57.8777082	408	12.24
834.8686329	59.2661931	418	12.54
862.7276077	60.7877274	428.5	12.855
875.0552395	62.1030403	438	13.14
882.9537816	63.1989937	446	13.38
904.9073032	64.4277562	454.5	13.635
906.9003922	65.2311638	460.5	13.815
919.6118791	66.2838404	468	14.04
929.562567	67.0587752	473.5	14.205
945.418708	68.1262948	481	14.43
964.8033582	68.9458298	486.5	14.595
995.8069871	70.4822112	497	14.91
1017.760509	71.7110938	505.5	15.165
