#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-1.48 0.07 -0.500 0.015
-3.14 0.04 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-6.29 0.08 0 0
0 0 0 0
0 0 0 0
1.67 0.07 -0.500 0.015
0 0 0 0
3.14 0.04 0 0
-3.14 0.04 0 0
0 0 0 0
0 0 0 0
-3.14 0.04 0 0
0 0 0 0
0 0 0 0
1.67 0.07 -0.500 0.015
0 0 0 0
25.0 0.4 1.00 0.03
108.1 2.1 10.0 0.3
191 4 22.0 0.7
259 6 36.5 1.1
307 9 53.0 1.6
317 10 62.5 1.9
325 11 67.5 2.0
358 12 76.5 2.3
387 14 90 3
408 16 104 3
421 18 117 4
428 19 128 4
437 20 138 4
460 22 150 4
473 24 164 5
480 30 175 5
480 30 182 5
500 30 192 6
540 30 206 6
560 30 224 7
560 30 236 7
570 40 245 7
580 40 254 8
610 40 266 8
610 40 275 8
610 40 283 8
630 40 292 9
660 40 305 9
680 50 318 10
700 50 330 10
710 50 341 10
720 50 350 10
730 50 358 11
750 50 370 11
760 50 379 11
780 50 387 12
800 60 397 12
820 60 408 12
830 60 418 13
860 60 429 13
880 60 438 13
880 60 446 13
900 60 455 14
910 70 461 14
920 70 468 14
930 70 474 14
950 70 481 14
960 70 487 15
1000 70 497 15
1020 70 506 15
1030 70 512 15
1050 70 519 16
1060 70 527 16
1080 80 534 16
1070 80 538 16
1100 80 542 16
1120 80 548 16
1110 80 552 17
1150 80 559 17
1170 80 567 17
1170 80 571 17
1190 80 575 17
1210 80 582 17
1240 80 590 18
1270 80 597 18
1280 90 605 18
1290 90 610 18
1330 90 618 19
1350 90 625 19
1380 90 633 19
1400 90 640 19
1430 90 646 19
1470 90 656 20
1520 100 667 20
1570 100 680 20
1580 100 687 21
1600 100 694 21
1640 100 703 21
1650 100 708 21
1670 100 712 21
1690 100 717 22
1710 100 723 22
1740 100 729 22
1760 110 734 22
1790 110 740 22
1810 110 745 22
1830 110 750 23
1840 110 755 23
1850 110 758 23
1860 110 760 23
1840 110 760 23
1840 110 760 23
1840 110 760 23
1850 110 760 23
1850 110 760 23
1850 110 760 23
1860 110 761 23
1920 110 768 23
2000 110 778 23
2060 110 791 24
2090 120 802 24
2110 120 808 24
2170 120 816 24
2220 120 825 25
2240 120 832 25
2250 120 840 30
2250 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2250 120 840 30
2260 120 840 30
2250 120 840 30
2260 120 840 30
2250 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2250 120 840 30
