#H_Fe	err_H_Fe	B[mT]	err_B[mT]
2255.159652	122.2417953	841.5	25.245
2253.491361	122.2980719	842	25.26
2253.491361	122.2980719	842	25.26
2258.304306	122.2589048	841.5	25.245
2258.304306	122.2589048	841.5	25.245
2259.780669	122.3322804	842	25.26
2256.636015	122.3151705	842	25.26
2261.44896	122.2760256	841.5	25.245
2259.780669	122.3322804	842	25.26
2290.843355	122.7630867	844	25.32
2313.756514	123.3456776	847.5	25.425
2333.52502	123.9111733	851	25.53
2373.445885	124.7837232	856	25.68
2400.596207	125.7165629	862	25.86
2440.517072	126.5901726	867	26.01
2458.617287	127.2123298	871	26.13
2500.014515	128.1602555	876.5	26.295
2522.735747	128.8736949	881	26.43
2537.883235	129.3493791	884	26.52
2543.788688	129.6429447	886	26.58
2548.217778	129.863119	887.5	26.625
2551.170505	130.0099018	888.5	26.655
2558.936176	130.1186758	889	26.67
2575.943882	130.4097438	890.5	26.715
2577.228318	130.612181	892	26.76
2584.993989	130.7210623	892.5	26.775
2611.24373	131.1947448	895	26.85
2628.059509	131.6152104	897.5	26.925
2637.109616	131.9266368	899.5	26.985
2646.159723	132.2380737	901.5	27.045
2658.546412	132.4385179	902.5	27.075
2666.120156	132.6766035	904	27.12
2675.362191	132.8592338	905	27.15
2689.225243	133.1332559	906.5	27.195
2696.798987	133.3714029	908	27.24
2709.185676	133.5721541	909	27.27
2718.235783	133.883734	911	27.33
2730.430544	134.2133523	913	27.39
2741.34087	134.3408916	913.5	27.405
2742.817233	134.4142841	914	27.42
2752.059268	134.5972168	915	27.45
2758.156648	134.7620902	916	27.48
2770.543337	134.963201	917	27.51
2776.640718	135.1281134	918	27.54
2781.069808	135.3482887	919.5	27.585
2782.546171	135.4216805	920	27.6
2784.022534	135.4950723	920.5	27.615
2785.498898	135.5684641	921	27.63
2785.498898	135.5684641	921	27.63
2793.264569	135.6781416	921.5	27.645
2807.127621	135.9528186	923	27.69
2813.225002	136.117788	924	27.72
2819.51431	136.1541919	924	27.72
2825.611691	136.3191899	925	27.75
2841.143034	136.5389351	926	27.78
2855.006086	136.81393	927.5	27.825
