#H_Fe	err_H_Fe	B[mT]	err_B[mT]
2260 120 840 30
2250 120 840 30
2250 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2260 120 840 30
2290 120 840 30
2310 120 850 30
2330 120 850 30
2370 120 860 30
2400 130 860 30
2440 130 870 30
2460 130 870 30
2500 130 880 30
2520 130 880 30
2540 130 880 30
2540 130 890 30
2550 130 890 30
2550 130 890 30
2560 130 890 30
2580 130 890 30
2580 130 890 30
2580 130 890 30
2610 130 900 30
2630 130 900 30
2640 130 900 30
2650 130 900 30
2660 130 900 30
2670 130 900 30
2680 130 910 30
2690 130 910 30
2700 130 910 30
2710 130 910 30
2720 130 910 30
2730 130 910 30
2740 130 910 30
2740 130 910 30
2750 130 920 30
2760 130 920 30
2770 130 920 30
2780 140 920 30
2780 140 920 30
2780 140 920 30
2780 140 920 30
2790 140 920 30
2790 140 920 30
2790 140 920 30
2810 140 920 30
2810 140 920 30
2820 140 920 30
2830 140 930 30
2840 140 930 30
2860 140 930 30
2860 140 930 30
2870 140 930 30
2890 140 930 30
2900 140 930 30
2900 140 940 30
2910 140 940 30
2930 140 940 30
2950 140 940 30
2970 140 940 30
2970 140 940 30
2980 140 940 30
2980 140 940 30
2980 140 940 30
2970 140 940 30
2970 140 940 30
2970 140 940 30
2980 140 940 30
2970 140 940 30
2990 140 950 30
3020 140 950 30
3040 140 950 30
3070 140 950 30
3080 140 950 30
3100 140 950 30
3110 140 960 30
3120 140 960 30
3120 140 960 30
3130 140 960 30
3130 140 960 30
3130 140 960 30
3140 140 960 30
3130 140 960 30
3140 140 960 30
3140 140 960 30
3130 140 960 30
3140 140 960 30
3130 140 960 30
3100 140 960 30
3060 140 960 30
3060 140 960 30
3030 140 960 30
2970 140 950 30
2950 140 950 30
2940 140 950 30
2930 140 950 30
2900 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2890 140 950 30
2900 140 950 30
2900 140 950 30
2900 140 950 30
2900 140 950 30
2890 140 950 30
2890 140 950 30
2890 140 950 30
2760 140 940 30
2580 140 930 30
2430 130 920 30
2310 130 910 30
2190 130 900 30
2070 130 890 30
1980 130 880 30
1850 120 860 30
1740 120 850 30
1640 120 831 25
1520 110 813 24
1440 110 796 24
1360 110 779 23
1320 110 768 23
1310 110 761 23
1220 100 749 22
1080 100 725 22
1020 100 706 21
1020 100 695 21
1030 100 691 21
1040 100 689 21
1040 100 689 21
1040 100 689 21
990 100 685 21
890 90 669 20
870 90 657 20
810 90 644 19
750 90 629 19
720 90 616 18
660 80 602 18
600 80 584 18
540 80 565 17
510 80 553 17
460 70 537 16
400 70 519 16
340 70 499 15
290 70 478 14
250 60 460 14
230 60 446 13
190 60 429 13
150 60 410 12
120 50 394 12
80 50 376 11
10 50 348 10
-60 40 308 9
-90 40 279 8
-120 30 250 7
-150 30 224 7
-170 30 201 6
-203 23 174 5
-231 19 148 4
-257 16 119 4
-273 13 97 3
-265 11 79.5 2.4
-248 10 73.5 2.2
-235 9 70.5 2.1
-230 9 69.0 2.1
-227 9 68.0 2.0
-222 9 67.5 2.0
-224 9 67.0 2.0
-222 9 66.5 2.0
-222 9 66.5 2.0
-222 9 66.5 2.0
-222 9 66.5 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-227 9 66.0 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-219 9 65.5 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-227 9 66.0 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-223 9 66.0 2.0
-223 9 66.0 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-223 9 66.0 2.0
-217 9 66.0 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-214 9 66.0 2.0
-223 9 66.0 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-263 8 62.0 1.9
-287 7 52.0 1.6
-302 6 40.5 1.2
-317 5 28.0 0.8
-349 4 9.5 0.3
-373 5 -8.00 0.24
-409 7 -32.0 1.0
-429 10 -52.5 1.6
-450 12 -70.5 2.1
-458 14 -86 3
-476 16 -101 3
-486 18 -114 3
-518 20 -130 4
-551 23 -150 4
-590 30 -174 5
-630 30 -198 6
-600 30 -210 6
-590 30 -218 7
-600 30 -223 7
-640 30 -234 7
-710 40 -258 8
-810 40 -294 9
-900 50 -334 10
-990 50 -375 11
-1030 60 -411 12
-1040 60 -434 13
-1090 70 -456 14
-1170 70 -484 15
-1250 70 -516 15
-1310 80 -543 16
-1350 80 -566 17
-1420 80 -589 18
-1450 90 -607 18
-1520 90 -627 19
-1620 90 -651 20
-1710 100 -675 20
-1810 100 -701 21
-1890 100 -723 22
-1960 110 -744 22
-2070 110 -765 23
-2220 120 -792 24
-2410 120 -824 25
-2540 120 -850 30
-2670 130 -870 30
-2780 130 -890 30
-2870 130 -910 30
-2900 140 -920 30
-2920 140 -920 30
-2930 140 -920 30
-2930 140 -920 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2950 140 -930 30
-2970 140 -930 30
-3010 140 -930 30
-3040 140 -930 30
-3070 140 -940 30
-3090 140 -940 30
-3110 140 -940 30
-3120 140 -940 30
-3120 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3130 140 -950 30
-3010 140 -940 30
-2840 140 -930 30
-2680 140 -920 30
-2540 130 -910 30
-2420 130 -900 30
-2310 130 -900 30
-2240 130 -890 30
-2160 130 -880 30
-2060 120 -870 30
-2020 120 -860 30
-1950 120 -860 30
-1870 120 -850 30
-1810 120 -840 30
-1730 120 -826 25
-1670 120 -816 24
-1600 110 -805 24
-1570 110 -796 24
-1520 110 -787 24
-1470 110 -779 23
-1390 110 -766 23
-1330 110 -754 23
-1250 100 -739 22
-1200 100 -725 22
-1130 100 -710 21
-1080 100 -698 21
-1020 100 -683 20
-950 90 -666 20
-900 90 -650 19
-830 90 -633 19
-740 80 -613 18
-670 80 -593 18
-590 80 -568 17
-510 70 -542 16
-420 70 -513 15
-330 70 -483 14
-260 60 -453 14
-200 60 -423 13
-120 50 -391 12
-80 50 -361 11
-30 40 -331 10
0 40 -304 9
30 40 -278 8
60 30 -255 8
100 30 -227 7
130 30 -197 6
184 22 -163 5
214 17 -131 4
236 13 -100 3
250 10 -75.0 2.3
215 9 -65.5 2.0
200 8 -61.0 1.8
194 8 -59.0 1.8
192 8 -57.5 1.7
185 8 -56.5 1.7
187 7 -56.0 1.7
191 7 -55.5 1.7
185 7 -55.5 1.7
184 7 -55.0 1.7
184 7 -55.0 1.7
184 7 -55.0 1.7
180 7 -55.0 1.7
184 7 -55.0 1.7
187 7 -55.0 1.7
184 7 -55.0 1.7
184 7 -55.0 1.7
187 7 -55.0 1.7
187 7 -55.0 1.7
179 7 -54.5 1.6
182 7 -54.5 1.6
185 7 -54.5 1.6
182 7 -54.5 1.6
179 7 -54.5 1.6
182 7 -54.5 1.6
185 7 -54.5 1.6
182 7 -54.5 1.6
185 7 -54.5 1.6
188 7 -54.5 1.6
185 7 -54.5 1.6
184 7 -55.0 1.7
179 7 -54.5 1.6
182 7 -54.5 1.6
179 7 -54.5 1.6
182 7 -54.5 1.6
184 7 -55.0 1.7
179 7 -54.5 1.6
185 7 -54.5 1.6
185 7 -54.5 1.6
182 7 -54.5 1.6
179 7 -54.5 1.6
179 7 -54.5 1.6
233 7 -49.0 1.5
296 5 -28.5 0.9
320 4 -4.50 0.14
342 5 14.5 0.4
351 7 29.5 0.9
352 8 43.5 1.3
368 10 55.5 1.7
396 12 72.5 2.2
390 13 84 3
408 15 94 3
456 18 116 3
486 20 136 4
496 23 153 5
506 24 166 5
530 30 180 5
550 30 196 6
550 30 209 6
560 30 218 7
570 30 228 7
580 30 239 7
590 40 249 7
590 40 255 8
610 40 264 8
630 40 274 8
640 40 285 9
650 40 295 9
670 40 303 9
690 40 314 9
710 50 326 10
750 50 342 10
770 50 356 11
800 50 371 11
830 60 387 12
860 60 402 12
890 60 417 12
920 60 434 13
990 60 455 14
1060 70 480 14
1060 70 497 15
1080 70 509 15
1110 70 522 16
1180 80 542 16
1220 80 559 17
1280 80 578 17
1380 90 601 18
1460 90 626 19
1570 90 655 20
1700 100 686 21
1840 100 720 22
2000 110 754 23
2180 120 792 24
2410 120 832 25
2590 130 870 30
2800 130 900 30
2980 140 930 30
3030 140 940 30
3060 140 950 30
3070 140 950 30
3090 140 950 30
3080 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3080 140 960 30
3080 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3080 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2950 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
-2940 140 -930 30
