#t_up_mean	t_up_err	t_mid_mean	t_mid_err	t_down_mean	t_down_err
1.1900	0.2000	None	None	None	None
1.2900	0.2000	1.2700	0.2000	0.2700	0.2000
1.1200	0.2000	2.6550	0.1414	0.8250	0.1414
0.7600	0.2000	None	None	None	None
0.7500	0.2000	2.5800	0.2000	0.7600	0.1414
0.6900	0.2000	3.6300	0.2000	None	None
0.5350	0.1414	4.4400	0.1414	0.8800	0.1414
0.6800	0.2000	4.5900	0.2000	0.7200	0.2000
4.7400	0.2000	1.0300	0.2000	0.4000	0.2000
3.3800	0.2000	1.3500	0.2000	0.3500	0.2000
1.2700	0.1414	1.2500	0.1414	0.3500	0.1414
0.7800	0.2000	1.2600	0.2000	0.4000	0.2000
1.3600	0.2000	2.1900	0.2000	0.6100	0.2000
2.3500	0.2000	4.0900	0.2000	1.0900	0.2000
1.4700	0.2000	5.3300	0.2000	1.0300	0.2000
