#Ne err_Ne Ne err_Ne 
1 0 0.0000000000000000010142822 0.0
2 0 0.0000000000000000003586230 0.0
#3 0 0.0000000000000000177875008 0.0
#4 0 0.0000000000000000028686535 0.0
5 0 0.0000000000000000016352885 0.0
6 0 0.0000000000000000006587963 0.0
#7 0 0.0000000000000000064640778 0.0
#8 0 0.0000000000000000064995459 0.0
9 0 0.0000000000000000003586230 0.0
#10 0 0.0000000000000000052703706 0.0
#11 0 0.0000000000000000138935110 0.0
#12 0 0.0000000000000000178360726 0.0
#13 0 0.0000000000000000130823081 0.0
#14 0 0.0000000000000000052703706 0.0
#15 0 0.0000000000000000034230166 0.0
16 0 0.0000000000000000013124948 0.0
17 0 0.0000000000000000005011145 0.0
