#20Ne ohne_Komma
1636.0000000000000000000000000 1636
578.0000000000000000000000000 578
28690.0000000000000000000000000 28690
4627.0000000000000000000000000 4627
2638.0000000000000000000000000 2638
1063.0000000000000000000000000 1063
10426.0000000000000000000000000 10426
10483.0000000000000000000000000 10483
578.0000000000000000000000000 578
8501.0000000000000000000000000 8501
22409.0000000000000000000000000 22409
28768.0000000000036379788070917 28768
21100.0000000000000000000000000 21100
8501.0000000000000000000000000 8501
5521.0000000000000000000000000 5521
2117.0000000000000000000000000 2117
808.0000000000000000000000000 808
19492.0000000000000000000000000 19492
65967.0000000000000000000000000 65967
110169.0000000000000000000000000 110169
8452.0000000000000000000000000 8452
20328.0000000000000000000000000 20328
24180.9999999999963620211929083 24180
22916.0000000000000000000000000 22916
47684.0000000000000000000000000 47684
539.0000000000000000000000000 539
2449.0000000000000000000000000 2449
2053.0000000000000000000000000 2053
1765.0000000000000000000000000 1765
3564.0000000000000000000000000 3564
