#t_up_mean	t_up_err	t_mid_mean	t_mid_err	t_down_mean	t_down_err
1.07	0.29	4.87	0.29	0.75	0.29
1.19	0.29	5.98	0.29	0.97	0.29
1.29	0.29	1.27	0.29	0.27	0.29
1.12	0.29	2.59	0.29	0.58	0.29
0.75	0.29	2.58	0.29	0.52	0.29
1.22	0.29	3.46	0.29	0.91	0.29
1.90	0.29	4.56	0.29	0.52	0.29
1.61	0.29	5.48	0.29	0.46	0.29
0.51	0.21	4.37	0.21	0.46	0.21
1.25	0.29	4.20	0.29	0.46	0.29
4.74	0.29	1.03	0.29	0.40	0.29
3.38	0.29	1.35	0.29	0.35	0.29
1.27	0.21	1.25	0.21	0.35	0.21
0.78	0.29	1.26	0.29	0.40	0.29
1.36	0.29	2.19	0.29	0.61	0.29
2.35	0.29	4.09	0.29	1.09	0.29
1.47	0.29	5.33	0.29	1.03	0.29
