#v_up err_v_up v_0 err_v_0 v_down err_v_down
0.0001869159 0.0000506594 0.0000410678 0.0000024455 0.0002666667 0.0001031111
0.0001680672 0.0000409576 0.0000334448 0.0000016219 0.0002061856 0.0000616431
0.0001550388 0.0000348537 0.0001574803 0.0000359601 0.0007407407 0.0007956104
0.0001785714 0.0000462372 0.0000772201 0.0000086463 0.0003448276 0.0001724138
0.0002666667 0.0001031111 0.0000775194 0.0000087134 0.0003846154 0.0002144970
0.0001639344 0.0000389680 0.0000578035 0.0000048448 0.0002197802 0.0000700399
0.0001052632 0.0000160665 0.0000438596 0.0000027893 0.0003846154 0.0002144970
0.0001242236 0.0000223757 0.0000364964 0.0000019314 0.0004347826 0.0002741021
0.0003921569 0.0001614764 0.0000457666 0.0000021993 0.0004347826 0.0001984877
0.0001600000 0.0000371200 0.0000476190 0.0000032880 0.0004347826 0.0002741021
0.0000421941 0.0000025815 0.0001941748 0.0000546706 0.0005000000 0.0003625000
0.0000591716 0.0000050769 0.0001481481 0.0000318244 0.0005714286 0.0004734694
0.0001574803 0.0000260401 0.0001600000 0.0000268800 0.0005714286 0.0003428571
0.0002564103 0.0000953320 0.0001587302 0.0000365331 0.0005000000 0.0003625000
0.0001470588 0.0000313581 0.0000913242 0.0000120932 0.0003278689 0.0001558721
0.0000851064 0.0000105025 0.0000488998 0.0000034672 0.0001834862 0.0000488174
0.0001360544 0.0000268407 0.0000375235 0.0000020416 0.0001941748 0.0000546706
