#r err_r v_up_mean err_v_up_mean v_mid_mean err_v_mid_mean v_down_mean err_v_down_mean g err_g E err_E
0.0000006143 0.0000004292 0.0001900000 0.0000500000 0.0000411000 0.0000024000 0.0002700000 0.0001000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000004344 0.0000003915 0.0001700000 0.0000400000 0.0000334000 0.0000016000 0.0002100000 0.0000600000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000015960 0.0000011830 0.0001600000 0.0000300000 0.0001600000 0.0000400000 0.0007000000 0.0008000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000008687 0.0000004811 0.0001800000 0.0000500000 0.0000770000 0.0000090000 0.0003400000 0.0001700000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000007203 0.0000007615 0.0002700000 0.0001000000 0.0000780000 0.0000090000 0.0003800000 0.0002100000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000005320 0.0000003574 0.0001600000 0.0000400000 0.0000580000 0.0000050000 0.0002200000 0.0000700000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000011389 0.0000004361 0.0001050000 0.0000160000 0.0000440000 0.0000030000 0.0003800000 0.0002100000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000011410 0.0000006218 0.0001240000 0.0000220000 0.0000365000 0.0000019000 0.0004000000 0.0003000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000004344 0.0000013906 0.0003900000 0.0001600000 0.0000458000 0.0000022000 0.0004300000 0.0002000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000010640 0.0000006709 0.0001600000 0.0000400000 0.0000480000 0.0000030000 0.0004000000 0.0003000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000014698 0.0000006419 0.0000420000 0.0000030000 0.0001900000 0.0000500000 0.0005000000 0.0004000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000015974 0.0000007382 0.0000590000 0.0000050000 0.0001500000 0.0000300000 0.0006000000 0.0005000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000014406 0.0000004936 0.0001600000 0.0000300000 0.0001600000 0.0000300000 0.0006000000 0.0003000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000010640 0.0000009139 0.0002600000 0.0001000000 0.0001600000 0.0000400000 0.0005000000 0.0004000000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000009214 0.0000004167 0.0001500000 0.0000300000 0.0000910000 0.0000120000 0.0003300000 0.0001600000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000006694 0.0000001804 0.0000850000 0.0000110000 0.0000490000 0.0000030000 0.0001800000 0.0000500000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
0.0000004856 0.0000002832 0.0001400000 0.0000300000 0.0000375000 0.0000020000 0.0001900000 0.0000500000 9.8070000000 0.0200000000 515.0000000000 1.0000000000
