#r err_r v_up_mean err_v_up_mean v_mid_mean err_v_mid_mean v_down_mean err_v_down_mean g err_g E err_E
0.0000006 0.0000004 0.00019 0.00005 0.0000411 0.0000024 0.00027 0.00010 9.807 0.020 515.0 1.0
0.0000004 0.0000004 0.00017 0.00004 0.0000334 0.0000016 0.00021 0.00006 9.807 0.020 515.0 1.0
0.0000016 0.0000012 0.00016 0.00003 0.00016 0.00004 0.0007 0.0008 9.807 0.020 515.0 1.0
0.0000009 0.0000005 0.00018 0.00005 0.000077 0.000009 0.00034 0.00017 9.807 0.020 515.0 1.0
0.0000007 0.0000008 0.00027 0.00010 0.000078 0.000009 0.00038 0.00021 9.807 0.020 515.0 1.0
0.0000005 0.0000004 0.00016 0.00004 0.000058 0.000005 0.00022 0.00007 9.807 0.020 515.0 1.0
0.0000011 0.0000004 0.000105 0.000016 0.000044 0.000003 0.00038 0.00021 9.807 0.020 515.0 1.0
0.0000011 0.0000006 0.000124 0.000022 0.0000365 0.0000019 0.0004 0.0003 9.807 0.020 515.0 1.0
0.0000004 0.0000014 0.00039 0.00016 0.0000458 0.0000022 0.00043 0.00020 9.807 0.020 515.0 1.0
0.0000011 0.0000007 0.00016 0.00004 0.000048 0.000003 0.0004 0.0003 9.807 0.020 515.0 1.0
0.0000015 0.0000006 0.000042 0.000003 0.00019 0.00005 0.0005 0.0004 9.807 0.020 515.0 1.0
0.0000016 0.0000007 0.000059 0.000005 0.00015 0.00003 0.0006 0.0005 9.807 0.020 515.0 1.0
0.0000014 0.0000005 0.00016 0.00003 0.00016 0.00003 0.0006 0.0003 9.807 0.020 515.0 1.0
0.0000011 0.0000009 0.00026 0.00010 0.00016 0.00004 0.0005 0.0004 9.807 0.020 515.0 1.0
0.0000009 0.0000004 0.00015 0.00003 0.000091 0.000012 0.00033 0.00016 9.807 0.020 515.0 1.0
0.00000067 0.00000018 0.000085 0.000011 0.000049 0.000003 0.00018 0.00005 9.807 0.020 515.0 1.0
0.0000005 0.0000003 0.00014 0.00003 0.0000375 0.0000020 0.00019 0.00005 9.807 0.020 515.0 1.0
