#drop_ID	t_u	t_0	t_d
drop_01	6.68	4.57	2.54
drop_02	1.07	4.87	0.75
drop_02	1.19	5.98	0.97
drop_03	1.29	1.27	0.27
drop_04	1.12	2.59	0.58
drop_04	0.76	2.72	1.07
drop_05	0.75	2.58	0.52
drop_05	0.69	3.63	1.00
drop_06	1.22	3.46	0.91
drop_07	0.54	4.81	0.60
drop_07	0.53	4.07	1.16
drop_08	1.90	4.56	0.52
drop_09	0.68	4.59	0.72
drop_10	1.61	5.48	0.46
drop_10	0.27	4.62	0.33
drop_10	0.74	4.12	0.58
drop_11	0.66	5.05	0.84
drop_11	1.25	4.20	0.46
drop_11	1.04	5.40	1.21
drop_12	4.74	1.03	0.40
drop_12	3.38	1.35	0.35
drop_12	1.12	1.21	0.32
drop_12	1.42	1.29	0.38
drop_12	0.78	1.26	0.40
drop_13	1.36	2.19	0.61
drop_14	2.35	4.09	1.09
drop_14	1.47	5.33	1.03
