#v_up err_v_up v_mid err_v_mid v_down err_v_down r err_r  q err_q 
0.000190 0.000050 0.0000411 0.0000024 0.00027 0.00010 0.6143e-6 0.429e-6  0.101e-17 0.15e-17
0.000170 0.000040 0.0000334 0.0000016 0.00021 0.00006 0.4344e-6 0.391e-6  0.035e-17 0.07e-17
0.000160 0.000030 0.0001600 0.0000400 0.00070 0.00080 1.5960e-6 1.183e-6  1.778e-17 2.94e-17
0.000180 0.000050 0.0000770 0.0000090 0.00034 0.00017 0.8687e-6 0.481e-6  0.286e-17 0.35e-17
0.000270 0.000100 0.0000780 0.0000090 0.00038 0.00021 0.7203e-6 0.761e-6  0.163e-17 0.38e-17
0.000160 0.000040 0.0000580 0.0000050 0.00022 0.00007 0.5320e-6 0.357e-6  0.065e-17 0.09e-17
0.000105 0.000016 0.0000440 0.0000030 0.00038 0.00021 1.1389e-6 0.436e-6  0.646e-17 0.55e-17
0.000124 0.000022 0.0000365 0.0000019 0.00040 0.00030 1.1410e-6 0.621e-6  0.649e-17 0.79e-17
0.000390 0.000160 0.0000458 0.0000022 0.00043 0.00020 0.4344e-6 1.390e-6  0.035e-17 0.25e-17
0.000160 0.000040 0.0000480 0.0000030 0.00040 0.00030 1.0640e-6 0.670e-6  0.527e-17 0.74e-17
0.000042 0.000003 0.0001900 0.0000500 0.00050 0.00040 1.4698e-6 0.641e-6  1.389e-17 1.35e-17
0.000059 0.000005 0.0001500 0.0000300 0.00060 0.00050 1.5974e-6 0.738e-6  1.783e-17 1.84e-17
0.000160 0.000030 0.0001600 0.0000300 0.00060 0.00030 1.4406e-6 0.493e-6  1.308e-17 1.00e-17
0.000260 0.000100 0.0001600 0.0000400 0.00050 0.00040 1.0640e-6 0.913e-6  0.527e-17 1.01e-17
0.000150 0.000030 0.0000910 0.0000120 0.00033 0.00016 0.9214e-6 0.416e-6  0.342e-17 0.34e-17
0.000085 0.000011 0.0000490 0.0000030 0.00018 0.00005 0.6694e-6 0.180e-6  0.131e-17 0.07e-17
0.000140 0.000030 0.0000375 0.0000020 0.00019 0.00005 0.4856e-6 0.283e-6  0.050e-17 0.06e-17
