#r err_r e_s err_e
0.0000006143 0.00000004292 1.6833e-19 3e-20
0.0000004344 0.00000003915 1.7500e-19 3e-20
0.0000015960 0.00000011830 1.6463e-19 3e-20
0.0000008687 0.00000004811 1.6824e-19 3e-20
0.0000007203 0.00000007615 1.6300e-19 3e-20
0.0000005320 0.00000003574 1.6250e-19 3e-20
0.0000011389 0.00000004361 1.6564e-19 3e-20
0.0000011410 0.00000006218 1.6641e-19 3e-20
0.0000004344 0.00000003906 1.7500e-19 3e-20
0.0000010640 0.00000006709 1.6469e-19 3e-20
0.0000014698 0.00000006419 1.6536e-19 3e-20
0.0000015974 0.00000007382 1.6509e-19 3e-20
0.0000014406 0.00000004936 1.6557e-19 3e-20
0.0000010640 0.00000009139 1.6469e-19 3e-20
0.0000009214 0.00000004167 1.6286e-19 3e-20
0.0000006694 0.00000001804 1.6375e-19 3e-20
0.0000004856 0.00000002832 1.6667e-19 3e-20
