['0', '-0,5', 'Null2']
0.0000 -0.5000 0.0000
-0.0015 -1.0000 0.0000
0.0015 -0.5000 0.0000
0.0015 -0.5000 0.0000
0.0000 -0.5000 0.0000
0.0015 -0.5000 0.0000
-0.0015 -0.5000 0.0000
0.0015 0.0000 0.0000
0.0015 -0.5000 0.0000
0.0000 0.0000 0.0000
0.0000 -0.5000 0.0000
-0.0015 -0.5000 0.0000
-0.0015 -0.5000 0.0000
0.0000 -1.0000 0.0000
0.0000 0.0000 0.0000
0.0015 -0.5000 0.0000
0.0000 -0.5000 0.0000
-0.0015 -0.5000 0.0000
-0.0510 -9.0000 0.0000
-0.1155 -26.5000 0.0000
-0.1770 -50.5000 0.0000
-0.2145 -67.5000 0.0000
-0.2640 -88.5000 0.0000
-0.2985 -105.5000 0.0000
-0.3210 -118.5000 0.0000
-0.3495 -131.0000 0.0000
-0.3750 -143.5000 0.0000
-0.4005 -155.0000 0.0000
-0.4350 -170.5000 0.0000
-0.4965 -196.0000 0.0000
-0.5385 -218.5000 0.0000
-0.5685 -234.0000 0.0000
-0.6030 -249.5000 0.0000
-0.6435 -267.5000 0.0000
-0.6975 -288.5000 0.0000
-0.7185 -301.5000 0.0000
-0.7395 -312.0000 0.0000
-0.7590 -321.5000 0.0000
-0.7995 -334.5000 0.0000
-0.8370 -350.5000 0.0000
-0.8520 -358.0000 0.0000
-0.8850 -369.5000 0.0000
-0.9045 -379.5000 0.0000
-0.9195 -386.5000 0.0000
-0.9345 -392.0000 0.0000
-0.9645 -401.5000 0.0000
-0.9885 -411.5000 0.0000
-1.0260 -424.5000 0.0000
-1.0635 -438.5000 0.0000
-1.0875 -448.0000 0.0000
-1.1010 -454.5000 0.0000
-1.1100 -459.0000 0.0000
-1.1160 -461.5000 0.0000
-1.1205 -463.5000 0.0000
-1.1190 -464.5000 0.0000
-1.1235 -465.5000 0.0000
-1.1235 -466.0000 0.0000
-1.1250 -466.5000 0.0000
-1.1250 -466.5000 0.0000
-1.1265 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1280 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1280 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1280 -467.0000 0.0000
-1.1265 -467.0000 0.0000
-1.1280 -467.5000 0.0000
-1.1280 -467.5000 0.0000
-1.1265 -467.0000 0.0000
