['[\'[\\\'[\\\\\\\'["[\\\\\\\\\\\\\\', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'B_er', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'I\\\\\\', '\'\\\'"\\\\\\\'err_I\\\\\\\']",', '\'"\\\'l_Fe\\\']",\',', '"\'err_l_Fe\']",', "'d']", 'err_d']
0.0000 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0015 -0.0000 -1.0000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0015 -0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 0.0000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 0.0000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0015 -0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0015 -0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 -1.0000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 0.0000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0015 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
0.0000 0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0015 -0.0000 -0.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.0510 -0.0015 -9.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.1155 -0.0035 -26.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.1770 -0.0053 -50.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.2145 -0.0064 -67.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.2640 -0.0079 -88.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.2985 -0.0090 -105.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.3210 -0.0096 -118.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.3495 -0.0105 -131.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.3750 -0.0112 -143.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.4005 -0.0120 -155.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.4350 -0.0130 -170.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.4965 -0.0149 -196.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.5385 -0.0162 -218.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.5685 -0.0171 -234.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.6030 -0.0181 -249.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.6435 -0.0193 -267.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.6975 -0.0209 -288.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.7185 -0.0216 -301.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.7395 -0.0222 -312.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.7590 -0.0228 -321.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.7995 -0.0240 -334.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.8370 -0.0251 -350.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.8520 -0.0256 -358.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.8850 -0.0266 -369.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.9045 -0.0271 -379.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.9195 -0.0276 -386.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.9345 -0.0280 -392.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.9645 -0.0289 -401.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-0.9885 -0.0297 -411.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.0260 -0.0308 -424.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.0635 -0.0319 -438.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.0875 -0.0326 -448.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1010 -0.0330 -454.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1100 -0.0333 -459.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1160 -0.0335 -461.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1205 -0.0336 -463.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1190 -0.0336 -464.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1235 -0.0337 -465.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1235 -0.0337 -466.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1250 -0.0338 -466.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.1250 -0.0338 -466.5000 0.5000 0.4770 0.0040 0.0020 0.0001
