#H err_H B err_B
0.0000000000 0.0000000000 -1048.2180293501 1048.2548844183
-0.0000015000 0.0000000000 -2096.4310538278 1048.3654411454
0.0000015000 0.0000000000 -1048.2230342225 1048.2548847703
0.0000015000 0.0000000000 -1048.2230342225 1048.2548847703
0.0000000000 0.0000000000 -1048.2180293501 1048.2548844183
0.0000015000 0.0000000000 -1048.2230342225 1048.2548847703
-0.0000015000 0.0000000000 -1048.2130244777 1048.2548840664
0.0000015000 0.0000000000 -0.0050048724 1048.2180293501
0.0000015000 0.0000000000 -1048.2230342225 1048.2548847703
0.0000000000 0.0000000000 0.0000000000 1048.2180293501
0.0000000000 0.0000000000 -1048.2180293501 1048.2548844183
-0.0000015000 0.0000000000 -1048.2130244777 1048.2548840664
-0.0000015000 0.0000000000 -1048.2130244777 1048.2548840664
0.0000000000 0.0000000000 -2096.4360587002 1048.3654418492
0.0000000000 0.0000000000 0.0000000000 1048.2180293501
0.0000015000 0.0000000000 -1048.2230342225 1048.2548847703
0.0000000000 0.0000000000 -1048.2180293501 1048.2548844183
-0.0000015000 0.0000000000 -1048.2130244777 1048.2548840664
-0.0000510000 0.0000015000 -18867.7543626395 1060.0918153313
-0.0001155000 0.0000035000 -55555.1701803789 1147.0820562077
-0.0001770000 0.0000053000 -105869.4303894145 1373.6590419279
-0.0002145000 0.0000064000 -141508.7182655075 1583.3235005492
-0.0002640000 0.0000079000 -185533.7103374219 1876.0047106574
-0.0002985000 0.0000090000 -221173.0082232597 2130.4164296873
-0.0003210000 0.0000096000 -248426.6019132761 2332.0930601883
-0.0003495000 0.0000105000 -274631.9575544526 2530.3239780163
-0.0003750000 0.0000112000 -300837.3232053740 2731.8496689823
-0.0004005000 0.0000120000 -324946.2527975952 2919.5768794375
-0.0004350000 0.0000130000 -357440.8965953827 3175.4079092975
-0.0004965000 0.0000149000 -410899.8108924687 3601.6127637590
-0.0005385000 0.0000162000 -458069.4820767955 3981.7068753434
-0.0005685000 0.0000171000 -490564.1408892003 4245.1928577061
-0.0006030000 0.0000181000 -523058.7846869878 4509.7491861011
-0.0006435000 0.0000193000 -560794.4986120361 4818.0860336105
-0.0006975000 0.0000209000 -604819.4756693332 5179.0481203252
-0.0007185000 0.0000216000 -632073.0743642220 5403.0578838245
-0.0007395000 0.0000222000 -654085.5829123603 5584.2568611521
-0.0007590000 0.0000228000 -674001.6604066708 5748.3847870923
-0.0007995000 0.0000240000 -701255.1940382180 5973.2395363298
-0.0008370000 0.0000251000 -734798.0458556107 6250.3512893902
-0.0008520000 0.0000256000 -750521.2662471381 6380.3731256108
-0.0008850000 0.0000266000 -774630.1708149972 6579.8810507761
-0.0009045000 0.0000271000 -795594.4663386578 6753.4952134968
-0.0009195000 0.0000276000 -810269.4687008350 6875.0912268302
-0.0009345000 0.0000280000 -821799.8169749619 6970.6669296926
-0.0009645000 0.0000289000 -841715.8594351654 7135.8228730934
-0.0009885000 0.0000297000 -862680.1399442087 7309.7625053887
-0.0010260000 0.0000308000 -889933.6835855008 7536.0130056004
-0.0010635000 0.0000319000 -919283.6632854932 7779.8172316589
-0.0010875000 0.0000326000 -939199.7257651864 7945.3372282578
-0.0011010000 0.0000330000 -952826.5151028859 8058.6232826617
-0.0011100000 0.0000333000 -962260.4473378023 8137.0682309196
-0.0011160000 0.0000335000 -967501.5174650631 8180.6542690764
-0.0011205000 0.0000336000 -971694.3745678463 8215.5259021889
-0.0011190000 0.0000336000 -973790.8156314190 8232.9627433720
-0.0011235000 0.0000337000 -975887.2366755018 8250.4000265991
-0.0011235000 0.0000337000 -976935.4547048520 8259.1189576387
-0.0011250000 0.0000338000 -977983.6677293297 8267.8379977494
-0.0011250000 0.0000338000 -977983.6677293297 8267.8379977494
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -980080.0937782850 8285.2765281290
-0.0011280000 0.0000338000 -980080.0937782850 8285.2765281290
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011280000 0.0000338000 -979031.8757489349 8276.5571464434
-0.0011280000 0.0000338000 -980080.0937782850 8285.2765281290
-0.0011280000 0.0000338000 -980080.0937782850 8285.2765281290
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011265000 0.0000338000 -980080.0987831574 8285.2765697557
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011265000 0.0000338000 -979031.8807538073 8276.5571880694
-0.0011325000 0.0000340000 -980080.0787636677 8285.2764032582
-0.0011460000 0.0000344000 -989513.9959839669 8363.7571248051
-0.0011805000 0.0000354000 -1008381.8054002030 8520.7532983622
-0.0012210000 0.0000366000 -1035635.3390317502 8747.6037041512
-0.0012540000 0.0000376000 -1060792.4616289595 8957.0804972981
-0.0012825000 0.0000385000 -1081756.7271233855 9131.6966713903
-0.0013020000 0.0000391000 -1098528.1505296456 9271.4219438899
-0.0013260000 0.0000398000 -1115299.5589212885 9411.1743675974
-0.0013500000 0.0000405000 -1131022.7492835813 9542.2159297541
-0.0013785000 0.0000414000 -1149890.5787193072 9699.4947594837
-0.0014025000 0.0000421000 -1167710.2051403001 9848.0636667819
-0.0014190000 0.0000426000 -1181336.9844682547 9961.6926332221
-0.0014295000 0.0000429000 -1190770.9116982988 10040.3673991714
-0.0014385000 0.0000432000 -1197060.1898451648 10092.8209719529
-0.0014430000 0.0000433000 -1202301.2649772982 10136.5346389028
-0.0014460000 0.0000434000 -1205445.9090556037 10162.7638105654
-0.0014565000 0.0000437000 -1210686.9641682471 10206.4805585010
-0.0014655000 0.0000440000 -1215928.0242857630 10250.1993443791
-0.0014760000 0.0000443000 -1223265.5154571070 10311.4090083241
-0.0014895000 0.0000447000 -1231651.2146480558 10381.3675105170
-0.0015000000 0.0000450000 -1238988.7058193996 10442.5852236282
-0.0015075000 0.0000452000 -1245277.9889711381 10495.0605009684
-0.0015270000 0.0000458000 -1254711.8861719477 10573.7781323386
-0.0015390000 0.0000462000 -1263097.5903677691 10643.7543961508
-0.0015510000 0.0000465000 -1271483.2945635905 10713.7351660471
-0.0015570000 0.0000467000 -1278820.8007495515 10774.9720923771
-0.0015675000 0.0000470000 -1284061.8558621951 10818.7146202938
-0.0015765000 0.0000473000 -1290351.1340090611 10871.2079647265
-0.0015855000 0.0000476000 -1295592.1941265771 10914.9541952774
-0.0015960000 0.0000479000 -1301881.4672685708 10967.4518330383
-0.0016035000 0.0000481000 -1308170.7504203094 11019.9518710958
-0.0016110000 0.0000483000 -1312363.5975133476 11054.9530976373
-0.0016155000 0.0000485000 -1317604.6726454808 11098.7061793100
-0.0016245000 0.0000487000 -1321797.5147336468 11133.7096128934
-0.0016320000 0.0000490000 -1328086.7978853853 11186.2167728916
-0.0016425000 0.0000493000 -1331231.4169393287 11212.4709856106
-0.0016515000 0.0000495000 -1337520.6950861947 11264.9813675714
-0.0016590000 0.0000498000 -1343809.9782379332 11317.4939293122
-0.0016665000 0.0000500000 -1348002.8253309715 11352.5034072897
-0.0016755000 0.0000503000 -1354292.1034778375 11405.0194250073
-0.0016830000 0.0000505000 -1359533.1686002261 11448.7843480692
-0.0016890000 0.0000507000 -1363726.0206981367 11483.7973056216
