B I
0 -0,5
-0,0015 -1
0,0015 -0,5
0,0015 -0,5
0 -0,5
0,0015 -0,5
-0,0015 -0,5
0,0015 0
0,0015 -0,5
0 0
0 -0,5
-0,0015 -0,5
-0,0015 -0,5
0 -1
0 0
0,0015 -0,5
0 -0,5
-0,0015 -0,5
-0,051 -9
-0,1155 -26,5
-0,177 -50,5
-0,2145 -67,5
-0,264 -88,5
-0,2985 -105,5
-0,321 -118,5
-0,3495 -131
-0,375 -143,5
-0,4005 -155
-0,435 -170,5
-0,4965 -196
-0,5385 -218,5
-0,5685 -234
-0,603 -249,5
-0,6435 -267,5
-0,6975 -288,5
-0,7185 -301,5
-0,7395 -312
-0,759 -321,5
-0,7995 -334,5
-0,837 -350,5
-0,852 -358
-0,885 -369,5
-0,9045 -379,5
-0,9195 -386,5
-0,9345 -392
-0,9645 -401,5
-0,9885 -411,5
-1,026 -424,5
-1,0635 -438,5
-1,0875 -448
-1,101 -454,5
-1,11 -459
-1,116 -461,5
-1,1205 -463,5
-1,119 -464,5
-1,1235 -465,5
-1,1235 -466
-1,125 -466,5
-1,125 -466,5
-1,1265 -467
-1,1265 -467
-1,1265 -467
-1,1265 -467
-1,1265 -467
-1,1265 -467
-1,128 -467
-1,1265 -467
-1,128 -467
-1,1265 -467
-1,128 -467
-1,1265 -467
-1,128 -467,5
-1,128 -467,5
-1,1265 -467
-1,1265 -467,5
-1,128 -467
-1,1265 -467,5
-1,1265 -467
-1,128 -467
-1,1265 -467,5
-1,1265 -467
-1,1265 -467
-1,128 -467
-1,128 -467,5
-1,128 -467,5
-1,1265 -467,5
-1,1265 -467,5
-1,1265 -467,5
-1,1265 -467
-1,1265 -467
-1,1325 -467,5
-1,146 -472
-1,1805 -481
-1,221 -494
-1,254 -506
-1,2825 -516
-1,302 -524
-1,326 -532
-1,35 -539,5
-1,3785 -548,5
-1,4025 -557
-1,419 -563,5
-1,4295 -568
-1,4385 -571
-1,443 -573,5
-1,446 -575
-1,4565 -577,5
-1,4655 -580
-1,476 -583,5
-1,4895 -587,5
-1,5 -591
-1,5075 -594
-1,527 -598,5
-1,539 -602,5
-1,551 -606,5
-1,557 -610
-1,5675 -612,5
-1,5765 -615,5
-1,5855 -618
-1,596 -621
-1,6035 -624
-1,611 -626
-1,6155 -628,5
-1,6245 -630,5
-1,632 -633,5
-1,6425 -635
-1,6515 -638
-1,659 -641
-1,6665 -643
-1,6755 -646
-1,683 -648,5
-1,689 -650,5
-1,6935 -652
-1,695 -653
-1,7055 -655
-1,713 -658
-1,7205 -660
-1,731 -662,5
-1,743 -666
-1,752 -668,5
-1,761 -671
-1,7685 -674
-1,7775 -676,5
-1,785 -679
-1,7925 -681
-1,7955 -682,5
-1,8 -683,5
-1,8075 -686
-1,815 -688
-1,8225 -690,5
-1,83 -692,5
-1,8405 -694,5
-1,842 -696
-1,839 -696,5
-1,8405 -696,5
-1,8405 -696,5
-1,8405 -697
-1,8405 -697
-1,842 -696,5
-1,839 -697
-1,8405 -697
-1,8405 -697
-1,8405 -697
-1,839 -696,5
-1,8405 -696,5
-1,839 -697
-1,8405 -696,5
-1,8405 -697
-1,8405 -697
-1,839 -697
-1,839 -697
-1,839 -697
-1,842 -697
-1,8405 -697
-1,839 -697
-1,842 -697
-1,839 -696,5
-1,8405 -697
-1,8405 -696,5
-1,839 -697
-1,839 -697
-1,8405 -696,5
-1,8375 -696,5
-1,842 -697
-1,848 -697,5
-1,851 -699,5
-1,8615 -701,5
-1,8735 -704
-1,8885 -708
-1,914 -714,5
-1,9245 -718,5
-1,932 -721
-1,938 -723
-1,941 -724
-1,9575 -727,5
-1,9755 -732,5
-1,9905 -737
-2,004 -740
-2,016 -743
-2,037 -749
-2,0475 -752,5
-2,0505 -754
-2,0535 -755
-2,0565 -756
-2,0565 -757
-2,058 -757
-2,0595 -757
-2,0595 -757,5
-2,058 -757,5
-2,0565 -757
-2,0565 -757,5
-2,0595 -757,5
-2,0565 -757,5
-2,0595 -757,5
-2,058 -757,5
-2,0595 -757,5
-2,058 -757
-2,061 -757,5
-2,058 -757,5
-2,0565 -757,5
-2,058 -757,5
-2,058 -757,5
-2,058 -757,5
-2,0595 -758
-2,058 -757,5
-2,0595 -757,5
-2,0595 -757,5
-2,0595 -757,5
-2,061 -757,5
-2,0865 -761,5
-2,1255 -770,5
-2,1525 -777,5
-2,169 -783,5
-2,1765 -787,5
-2,19 -790
-2,2035 -794
-2,217 -795,5
-2,2275 -800,5
-2,2395 -801,5
-2,2515 -806
-2,2725 -810,5
-2,2935 -815
-2,304 -817
-2,319 -820
-2,328 -825
-2,337 -827,5
-2,3475 -830
-2,3595 -833,5
-2,373 -837
-2,3835 -838,5
-2,388 -840
-2,3955 -841
-2,4105 -844,5
-2,4075 -846,5
-2,4075 -845,5
-2,409 -844,5
-2,4075 -846,5
-2,4075 -844,5
-2,4075 -844
-2,406 -845,5
-2,409 -844
-2,409 -844
-2,4075 -846,5
-2,4075 -846,5
-2,4075 -845,5
-2,4075 -844
-2,4075 -846
-2,4075 -846,5
-2,4075 -844,5
-2,4075 -844
-2,406 -843,5
-2,4075 -846,5
