#['B', 'Null1', 'I', 'Null2']
0.0000 0.0000 -0.5000 0.0000
-0.0015 0.0000 -1.0000 0.0000
0.0015 0.0000 -0.5000 0.0000
0.0015 0.0000 -0.5000 0.0000
0.0000 0.0000 -0.5000 0.0000
0.0015 0.0000 -0.5000 0.0000
-0.0015 0.0000 -0.5000 0.0000
0.0015 0.0000 0.0000 0.0000
0.0015 0.0000 -0.5000 0.0000
0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 -0.5000 0.0000
-0.0015 0.0000 -0.5000 0.0000
-0.0015 0.0000 -0.5000 0.0000
0.0000 0.0000 -1.0000 0.0000
0.0000 0.0000 0.0000 0.0000
0.0015 0.0000 -0.5000 0.0000
0.0000 0.0000 -0.5000 0.0000
-0.0015 0.0000 -0.5000 0.0000
-0.0510 0.0000 -9.0000 0.0000
-0.1155 0.0000 -26.5000 0.0000
-0.1770 0.0000 -50.5000 0.0000
-0.2145 0.0000 -67.5000 0.0000
-0.2640 0.0000 -88.5000 0.0000
-0.2985 0.0000 -105.5000 0.0000
-0.3210 0.0000 -118.5000 0.0000
-0.3495 0.0000 -131.0000 0.0000
-0.3750 0.0000 -143.5000 0.0000
-0.4005 0.0000 -155.0000 0.0000
-0.4350 0.0000 -170.5000 0.0000
-0.4965 0.0000 -196.0000 0.0000
-0.5385 0.0000 -218.5000 0.0000
-0.5685 0.0000 -234.0000 0.0000
-0.6030 0.0000 -249.5000 0.0000
-0.6435 0.0000 -267.5000 0.0000
-0.6975 0.0000 -288.5000 0.0000
-0.7185 0.0000 -301.5000 0.0000
-0.7395 0.0000 -312.0000 0.0000
-0.7590 0.0000 -321.5000 0.0000
-0.7995 0.0000 -334.5000 0.0000
-0.8370 0.0000 -350.5000 0.0000
-0.8520 0.0000 -358.0000 0.0000
-0.8850 0.0000 -369.5000 0.0000
-0.9045 0.0000 -379.5000 0.0000
-0.9195 0.0000 -386.5000 0.0000
-0.9345 0.0000 -392.0000 0.0000
-0.9645 0.0000 -401.5000 0.0000
-0.9885 0.0000 -411.5000 0.0000
-1.0260 0.0000 -424.5000 0.0000
-1.0635 0.0000 -438.5000 0.0000
-1.0875 0.0000 -448.0000 0.0000
-1.1010 0.0000 -454.5000 0.0000
-1.1100 0.0000 -459.0000 0.0000
-1.1160 0.0000 -461.5000 0.0000
-1.1205 0.0000 -463.5000 0.0000
-1.1190 0.0000 -464.5000 0.0000
-1.1235 0.0000 -465.5000 0.0000
-1.1235 0.0000 -466.0000 0.0000
-1.1250 0.0000 -466.5000 0.0000
-1.1250 0.0000 -466.5000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1280 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1280 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1280 0.0000 -467.0000 0.0000
-1.1265 0.0000 -467.0000 0.0000
-1.1280 0.0000 -467.5000 0.0000
-1.1280 0.0000 -467.5000 0.0000
