I err_I B B_error l_Fe err_l_Fe d 
0.0000 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0015 0.5000 -1.0000 -0.0300 0.4770 0.0040 0.0020
0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0000 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0015 0.5000 0.0000 0.0000 0.4770 0.0040 0.0020
0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0000 0.5000 0.0000 0.0000 0.4770 0.0040 0.0020
0.0000 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0000 0.5000 -1.0000 -0.0300 0.4770 0.0040 0.0020
0.0000 0.5000 0.0000 0.0000 0.4770 0.0040 0.0020
0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
0.0000 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0015 0.5000 -0.5000 -0.0150 0.4770 0.0040 0.0020
-0.0510 0.5000 -9.0000 -0.2700 0.4770 0.0040 0.0020
-0.1155 0.5000 -26.5000 -0.7950 0.4770 0.0040 0.0020
-0.1770 0.5000 -50.5000 -1.5150 0.4770 0.0040 0.0020
-0.2145 0.5000 -67.5000 -2.0250 0.4770 0.0040 0.0020
-0.2640 0.5000 -88.5000 -2.6550 0.4770 0.0040 0.0020
-0.2985 0.5000 -105.5000 -3.1650 0.4770 0.0040 0.0020
-0.3210 0.5000 -118.5000 -3.5550 0.4770 0.0040 0.0020
-0.3495 0.5000 -131.0000 -3.9300 0.4770 0.0040 0.0020
-0.3750 0.5000 -143.5000 -4.3050 0.4770 0.0040 0.0020
-0.4005 0.5000 -155.0000 -4.6500 0.4770 0.0040 0.0020
-0.4350 0.5000 -170.5000 -5.1150 0.4770 0.0040 0.0020
-0.4965 0.5000 -196.0000 -5.8800 0.4770 0.0040 0.0020
-0.5385 0.5000 -218.5000 -6.5550 0.4770 0.0040 0.0020
-0.5685 0.5000 -234.0000 -7.0200 0.4770 0.0040 0.0020
-0.6030 0.5000 -249.5000 -7.4850 0.4770 0.0040 0.0020
-0.6435 0.5000 -267.5000 -8.0250 0.4770 0.0040 0.0020
-0.6975 0.5000 -288.5000 -8.6550 0.4770 0.0040 0.0020
-0.7185 0.5000 -301.5000 -9.0450 0.4770 0.0040 0.0020
-0.7395 0.5000 -312.0000 -9.3600 0.4770 0.0040 0.0020
-0.7590 0.5000 -321.5000 -9.6450 0.4770 0.0040 0.0020
-0.7995 0.5000 -334.5000 -10.0350 0.4770 0.0040 0.0020
-0.8370 0.5000 -350.5000 -10.5150 0.4770 0.0040 0.0020
-0.8520 0.5000 -358.0000 -10.7400 0.4770 0.0040 0.0020
-0.8850 0.5000 -369.5000 -11.0850 0.4770 0.0040 0.0020
-0.9045 0.5000 -379.5000 -11.3850 0.4770 0.0040 0.0020
-0.9195 0.5000 -386.5000 -11.5950 0.4770 0.0040 0.0020
-0.9345 0.5000 -392.0000 -11.7600 0.4770 0.0040 0.0020
-0.9645 0.5000 -401.5000 -12.0450 0.4770 0.0040 0.0020
-0.9885 0.5000 -411.5000 -12.3450 0.4770 0.0040 0.0020
-1.0260 0.5000 -424.5000 -12.7350 0.4770 0.0040 0.0020
-1.0635 0.5000 -438.5000 -13.1550 0.4770 0.0040 0.0020
-1.0875 0.5000 -448.0000 -13.4400 0.4770 0.0040 0.0020
-1.1010 0.5000 -454.5000 -13.6350 0.4770 0.0040 0.0020
-1.1100 0.5000 -459.0000 -13.7700 0.4770 0.0040 0.0020
-1.1160 0.5000 -461.5000 -13.8450 0.4770 0.0040 0.0020
-1.1205 0.5000 -463.5000 -13.9050 0.4770 0.0040 0.0020
-1.1190 0.5000 -464.5000 -13.9350 0.4770 0.0040 0.0020
-1.1235 0.5000 -465.5000 -13.9650 0.4770 0.0040 0.0020
-1.1235 0.5000 -466.0000 -13.9800 0.4770 0.0040 0.0020
-1.1250 0.5000 -466.5000 -13.9950 0.4770 0.0040 0.0020
-1.1250 0.5000 -466.5000 -13.9950 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1280 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1265 0.5000 -467.0000 -14.0100 0.4770 0.0040 0.0020
-1.1325 0.5000 -467.5000 -14.0250 0.4770 0.0040 0.0020
-1.1460 0.5000 -472.0000 -14.1600 0.4770 0.0040 0.0020
-1.1805 0.5000 -481.0000 -14.4300 0.4770 0.0040 0.0020
-1.2210 0.5000 -494.0000 -14.8200 0.4770 0.0040 0.0020
-1.2540 0.5000 -506.0000 -15.1800 0.4770 0.0040 0.0020
-1.2825 0.5000 -516.0000 -15.4800 0.4770 0.0040 0.0020
-1.3020 0.5000 -524.0000 -15.7200 0.4770 0.0040 0.0020
-1.3260 0.5000 -532.0000 -15.9600 0.4770 0.0040 0.0020
-1.3500 0.5000 -539.5000 -16.1850 0.4770 0.0040 0.0020
-1.3785 0.5000 -548.5000 -16.4550 0.4770 0.0040 0.0020
-1.4025 0.5000 -557.0000 -16.7100 0.4770 0.0040 0.0020
-1.4190 0.5000 -563.5000 -16.9050 0.4770 0.0040 0.0020
-1.4295 0.5000 -568.0000 -17.0400 0.4770 0.0040 0.0020
-1.4385 0.5000 -571.0000 -17.1300 0.4770 0.0040 0.0020
-1.4430 0.5000 -573.5000 -17.2050 0.4770 0.0040 0.0020
-1.4460 0.5000 -575.0000 -17.2500 0.4770 0.0040 0.0020
-1.4565 0.5000 -577.5000 -17.3250 0.4770 0.0040 0.0020
-1.4655 0.5000 -580.0000 -17.4000 0.4770 0.0040 0.0020
-1.4760 0.5000 -583.5000 -17.5050 0.4770 0.0040 0.0020
-1.4895 0.5000 -587.5000 -17.6250 0.4770 0.0040 0.0020
-1.5000 0.5000 -591.0000 -17.7300 0.4770 0.0040 0.0020
-1.5075 0.5000 -594.0000 -17.8200 0.4770 0.0040 0.0020
-1.5270 0.5000 -598.5000 -17.9550 0.4770 0.0040 0.0020
-1.5390 0.5000 -602.5000 -18.0750 0.4770 0.0040 0.0020
-1.5510 0.5000 -606.5000 -18.1950 0.4770 0.0040 0.0020
-1.5570 0.5000 -610.0000 -18.3000 0.4770 0.0040 0.0020
-1.5675 0.5000 -612.5000 -18.3750 0.4770 0.0040 0.0020
-1.5765 0.5000 -615.5000 -18.4650 0.4770 0.0040 0.0020
-1.5855 0.5000 -618.0000 -18.5400 0.4770 0.0040 0.0020
-1.5960 0.5000 -621.0000 -18.6300 0.4770 0.0040 0.0020
-1.6035 0.5000 -624.0000 -18.7200 0.4770 0.0040 0.0020
-1.6110 0.5000 -626.0000 -18.7800 0.4770 0.0040 0.0020
-1.6155 0.5000 -628.5000 -18.8550 0.4770 0.0040 0.0020
-1.6245 0.5000 -630.5000 -18.9150 0.4770 0.0040 0.0020
-1.6320 0.5000 -633.5000 -19.0050 0.4770 0.0040 0.0020
-1.6425 0.5000 -635.0000 -19.0500 0.4770 0.0040 0.0020
-1.6515 0.5000 -638.0000 -19.1400 0.4770 0.0040 0.0020
-1.6590 0.5000 -641.0000 -19.2300 0.4770 0.0040 0.0020
-1.6665 0.5000 -643.0000 -19.2900 0.4770 0.0040 0.0020
-1.6755 0.5000 -646.0000 -19.3800 0.4770 0.0040 0.0020
-1.6830 0.5000 -648.5000 -19.4550 0.4770 0.0040 0.0020
-1.6890 0.5000 -650.5000 -19.5150 0.4770 0.0040 0.0020
-1.6935 0.5000 -652.0000 -19.5600 0.4770 0.0040 0.0020
-1.6950 0.5000 -653.0000 -19.5900 0.4770 0.0040 0.0020
-1.7055 0.5000 -655.0000 -19.6500 0.4770 0.0040 0.0020
-1.7130 0.5000 -658.0000 -19.7400 0.4770 0.0040 0.0020
-1.7205 0.5000 -660.0000 -19.8000 0.4770 0.0040 0.0020
-1.7310 0.5000 -662.5000 -19.8750 0.4770 0.0040 0.0020
-1.7430 0.5000 -666.0000 -19.9800 0.4770 0.0040 0.0020
-1.7520 0.5000 -668.5000 -20.0550 0.4770 0.0040 0.0020
-1.7610 0.5000 -671.0000 -20.1300 0.4770 0.0040 0.0020
-1.7685 0.5000 -674.0000 -20.2200 0.4770 0.0040 0.0020
-1.7775 0.5000 -676.5000 -20.2950 0.4770 0.0040 0.0020
-1.7850 0.5000 -679.0000 -20.3700 0.4770 0.0040 0.0020
-1.7925 0.5000 -681.0000 -20.4300 0.4770 0.0040 0.0020
-1.7955 0.5000 -682.5000 -20.4750 0.4770 0.0040 0.0020
-1.8000 0.5000 -683.5000 -20.5050 0.4770 0.0040 0.0020
-1.8075 0.5000 -686.0000 -20.5800 0.4770 0.0040 0.0020
-1.8150 0.5000 -688.0000 -20.6400 0.4770 0.0040 0.0020
-1.8225 0.5000 -690.5000 -20.7150 0.4770 0.0040 0.0020
-1.8300 0.5000 -692.5000 -20.7750 0.4770 0.0040 0.0020
-1.8405 0.5000 -694.5000 -20.8350 0.4770 0.0040 0.0020
-1.8420 0.5000 -696.0000 -20.8800 0.4770 0.0040 0.0020
-1.8390 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8420 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8420 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8420 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8405 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8390 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8405 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8375 0.5000 -696.5000 -20.8950 0.4770 0.0040 0.0020
-1.8420 0.5000 -697.0000 -20.9100 0.4770 0.0040 0.0020
-1.8480 0.5000 -697.5000 -20.9250 0.4770 0.0040 0.0020
-1.8510 0.5000 -699.5000 -20.9850 0.4770 0.0040 0.0020
-1.8615 0.5000 -701.5000 -21.0450 0.4770 0.0040 0.0020
-1.8735 0.5000 -704.0000 -21.1200 0.4770 0.0040 0.0020
-1.8885 0.5000 -708.0000 -21.2400 0.4770 0.0040 0.0020
-1.9140 0.5000 -714.5000 -21.4350 0.4770 0.0040 0.0020
-1.9245 0.5000 -718.5000 -21.5550 0.4770 0.0040 0.0020
-1.9320 0.5000 -721.0000 -21.6300 0.4770 0.0040 0.0020
-1.9380 0.5000 -723.0000 -21.6900 0.4770 0.0040 0.0020
-1.9410 0.5000 -724.0000 -21.7200 0.4770 0.0040 0.0020
-1.9575 0.5000 -727.5000 -21.8250 0.4770 0.0040 0.0020
-1.9755 0.5000 -732.5000 -21.9750 0.4770 0.0040 0.0020
-1.9905 0.5000 -737.0000 -22.1100 0.4770 0.0040 0.0020
-2.0040 0.5000 -740.0000 -22.2000 0.4770 0.0040 0.0020
-2.0160 0.5000 -743.0000 -22.2900 0.4770 0.0040 0.0020
-2.0370 0.5000 -749.0000 -22.4700 0.4770 0.0040 0.0020
-2.0475 0.5000 -752.5000 -22.5750 0.4770 0.0040 0.0020
-2.0505 0.5000 -754.0000 -22.6200 0.4770 0.0040 0.0020
-2.0535 0.5000 -755.0000 -22.6500 0.4770 0.0040 0.0020
-2.0565 0.5000 -756.0000 -22.6800 0.4770 0.0040 0.0020
-2.0565 0.5000 -757.0000 -22.7100 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.0000 -22.7100 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.0000 -22.7100 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0565 0.5000 -757.0000 -22.7100 0.4770 0.0040 0.0020
-2.0565 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0565 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.0000 -22.7100 0.4770 0.0040 0.0020
-2.0610 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0565 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -758.0000 -22.7400 0.4770 0.0040 0.0020
-2.0580 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0595 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0610 0.5000 -757.5000 -22.7250 0.4770 0.0040 0.0020
-2.0865 0.5000 -761.5000 -22.8450 0.4770 0.0040 0.0020
-2.1255 0.5000 -770.5000 -23.1150 0.4770 0.0040 0.0020
-2.1525 0.5000 -777.5000 -23.3250 0.4770 0.0040 0.0020
-2.1690 0.5000 -783.5000 -23.5050 0.4770 0.0040 0.0020
-2.1765 0.5000 -787.5000 -23.6250 0.4770 0.0040 0.0020
-2.1900 0.5000 -790.0000 -23.7000 0.4770 0.0040 0.0020
-2.2035 0.5000 -794.0000 -23.8200 0.4770 0.0040 0.0020
-2.2170 0.5000 -795.5000 -23.8650 0.4770 0.0040 0.0020
-2.2275 0.5000 -800.5000 -24.0150 0.4770 0.0040 0.0020
-2.2395 0.5000 -801.5000 -24.0450 0.4770 0.0040 0.0020
-2.2515 0.5000 -806.0000 -24.1800 0.4770 0.0040 0.0020
-2.2725 0.5000 -810.5000 -24.3150 0.4770 0.0040 0.0020
-2.2935 0.5000 -815.0000 -24.4500 0.4770 0.0040 0.0020
-2.3040 0.5000 -817.0000 -24.5100 0.4770 0.0040 0.0020
-2.3190 0.5000 -820.0000 -24.6000 0.4770 0.0040 0.0020
-2.3280 0.5000 -825.0000 -24.7500 0.4770 0.0040 0.0020
-2.3370 0.5000 -827.5000 -24.8250 0.4770 0.0040 0.0020
-2.3475 0.5000 -830.0000 -24.9000 0.4770 0.0040 0.0020
-2.3595 0.5000 -833.5000 -25.0050 0.4770 0.0040 0.0020
-2.3730 0.5000 -837.0000 -25.1100 0.4770 0.0040 0.0020
-2.3835 0.5000 -838.5000 -25.1550 0.4770 0.0040 0.0020
