#I	err_I	B	err_B	l	err_l	d	err_d
0	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.0015	0.001	-1	0.03	0.477	0.004	0.002	0.00005
0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0.0015	0.001	0	0	0.477	0.004	0.002	0.00005
0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0	0.001	0	0	0.477	0.004	0.002	0.00005
0	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0	0.001	-1	0.03	0.477	0.004	0.002	0.00005
0	0.001	0	0	0.477	0.004	0.002	0.00005
0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
0	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.0015	0.001	-0.5	0.015	0.477	0.004	0.002	0.00005
-0.051	0.001	-9	0.27	0.477	0.004	0.002	0.00005
-0.1155	0.001	-26.5	0.795	0.477	0.004	0.002	0.00005
-0.177	0.001	-50.5	1.515	0.477	0.004	0.002	0.00005
-0.2145	0.001	-67.5	2.025	0.477	0.004	0.002	0.00005
-0.264	0.001	-88.5	2.655	0.477	0.004	0.002	0.00005
-0.2985	0.001	-105.5	3.165	0.477	0.004	0.002	0.00005
-0.321	0.001	-118.5	3.555	0.477	0.004	0.002	0.00005
-0.3495	0.001	-131	3.93	0.477	0.004	0.002	0.00005
-0.375	0.001	-143.5	4.305	0.477	0.004	0.002	0.00005
-0.4005	0.001	-155	4.65	0.477	0.004	0.002	0.00005
-0.435	0.001	-170.5	5.115	0.477	0.004	0.002	0.00005
-0.4965	0.001	-196	5.88	0.477	0.004	0.002	0.00005
-0.5385	0.001	-218.5	6.555	0.477	0.004	0.002	0.00005
-0.5685	0.001	-234	7.02	0.477	0.004	0.002	0.00005
-0.603	0.001	-249.5	7.485	0.477	0.004	0.002	0.00005
-0.6435	0.001	-267.5	8.025	0.477	0.004	0.002	0.00005
-0.6975	0.001	-288.5	8.655	0.477	0.004	0.002	0.00005
-0.7185	0.001	-301.5	9.045	0.477	0.004	0.002	0.00005
-0.7395	0.001	-312	9.36	0.477	0.004	0.002	0.00005
-0.759	0.001	-321.5	9.645	0.477	0.004	0.002	0.00005
-0.7995	0.001	-334.5	10.035	0.477	0.004	0.002	0.00005
-0.837	0.001	-350.5	10.515	0.477	0.004	0.002	0.00005
-0.852	0.001	-358	10.74	0.477	0.004	0.002	0.00005
-0.885	0.001	-369.5	11.085	0.477	0.004	0.002	0.00005
-0.9045	0.001	-379.5	11.385	0.477	0.004	0.002	0.00005
-0.9195	0.001	-386.5	11.595	0.477	0.004	0.002	0.00005
-0.9345	0.001	-392	11.76	0.477	0.004	0.002	0.00005
-0.9645	0.001	-401.5	12.045	0.477	0.004	0.002	0.00005
-0.9885	0.001	-411.5	12.345	0.477	0.004	0.002	0.00005
-1.026	0.001	-424.5	12.735	0.477	0.004	0.002	0.00005
-1.0635	0.001	-438.5	13.155	0.477	0.004	0.002	0.00005
-1.0875	0.001	-448	13.44	0.477	0.004	0.002	0.00005
-1.101	0.001	-454.5	13.635	0.477	0.004	0.002	0.00005
-1.11	0.001	-459	13.77	0.477	0.004	0.002	0.00005
-1.116	0.001	-461.5	13.845	0.477	0.004	0.002	0.00005
-1.1205	0.001	-463.5	13.905	0.477	0.004	0.002	0.00005
-1.119	0.001	-464.5	13.935	0.477	0.004	0.002	0.00005
-1.1235	0.001	-465.5	13.965	0.477	0.004	0.002	0.00005
-1.1235	0.001	-466	13.98	0.477	0.004	0.002	0.00005
-1.125	0.001	-466.5	13.995	0.477	0.004	0.002	0.00005
-1.125	0.001	-466.5	13.995	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.1265	0.001	-467	14.01	0.477	0.004	0.002	0.00005
-1.128	0.001	-467	14.01	0.477	0.004	0.002	0.00005
