#H err_H B err_B
1668290.8080911462 66633.9806254367 -0.5000000000 0.0150000000
1668290.8080911462 66633.9806254367 -0.5000000000 0.0150000000
3336578.4715282046 133267.9556649482 -1.0000000000 0.0300000000
1668293.9527452344 66633.9861619009 -0.5000000000 0.0150000000
1668293.9527452344 66633.9861619009 -0.5000000000 0.0150000000
1668290.8080911462 66633.9806254367 -0.5000000000 0.0150000000
1668293.9527452344 66633.9861619009 -0.5000000000 0.0150000000
1668287.6634370582 66633.9750889825 -0.5000000000 0.0150000000
3.1446540881 2.0966019029 0.0000000000 0.0000000000
1668293.9527452344 66633.9861619009 -0.5000000000 0.0150000000
0.0000000000 2.0964360587 0.0000000000 0.0000000000
1668290.8080911462 66633.9806254367 -0.5000000000 0.0150000000
1668287.6634370582 66633.9750889825 -0.5000000000 0.0150000000
1668287.6634370582 66633.9750889825 -0.5000000000 0.0150000000
3336581.6161822923 133267.9612014049 -1.0000000000 0.0300000000
0.0000000000 2.0964360587 0.0000000000 0.0000000000
1668293.9527452344 66633.9861619009 -0.5000000000 0.0150000000
1668290.8080911462 66633.9806254367 -0.5000000000 0.0150000000
1668287.6634370582 66633.9750889825 -0.5000000000 0.0150000000
30029127.6274016388 1199411.4624267782 -9.0000000000 0.2700000000
88419170.6904659718 3531600.5450940798 -26.5000000000 0.7950000000
168497000.5480233729 6730031.3865370546 -50.5000000000 1.5150000000
225218809.4067701399 8995586.5882691219 -67.5000000000 2.0250000000
295286919.5730133653 11794213.5904492512 -88.5000000000 2.6550000000
352008734.7210683227 14059768.8032542840 -105.5000000000 3.1650000000
395384248.5616267920 15792252.2156113070 -118.5000000000 3.5550000000
437091459.0154777765 17458101.6252300814 -131.0000000000 3.9300000000
478798675.7586369514 19123951.0459217578 -143.5000000000 4.3050000000
517169310.8856137991 20656532.5054285303 -155.0000000000 4.6500000000
568886253.6093953848 22722185.7764562331 -170.5000000000 5.1150000000
653968955.8912261724 26120518.5596768968 -196.0000000000 5.8800000000
729041954.2050132751 29119047.5313167050 -218.5000000000 6.5550000000
780758906.3627570868 31184700.8189537600 -234.0000000000 7.0200000000
832475849.0865385532 33250354.0899814703 -249.5000000000 7.4850000000
892534233.2721594572 35649177.2418256477 -267.5000000000 8.0250000000
962602334.0044404268 38447804.2273964882 -288.5000000000 8.6550000000
1005977850.9896529913 40180287.6452899873 -301.5000000000 9.0450000000
1041011913.9344098568 41579601.1602212042 -312.0000000000 9.3600000000
1072709398.4076384306 42845646.7195039764 -321.5000000000 9.6450000000
1116084874.5123479366 44578130.0654236078 -334.5000000000 10.0350000000
1169470101.7549123764 46710417.3059708700 -350.5000000000 10.5150000000
1194494432.4297387600 47709926.9594931751 -358.0000000000 10.7400000000
1232865051.8334450722 49242508.3913176954 -369.5000000000 11.0850000000
1266230827.1147649288 50575187.9311929196 -379.5000000000 11.3850000000
1289586866.9815001488 51508063.6041227728 -386.5000000000 11.5950000000
