#R1 err_R1 R2 err_R2 R_theo*I err_(R_theo*I) B_e err_B_e
0.0412500000 0.0025000000 0.0402500000 0.0025000000 0.0022337802 0.0001977104 0.0000110917 0.0000392181
0.0435000000 0.0025000000 0.0415000000 0.0025000000 0.0024277995 0.0002066964 0.0000212699 0.0000376111
0.0462500000 0.0025000000 0.0447500000 0.0025000000 0.0027842148 0.0002218360 0.0000149006 0.0000351261
0.0492500000 0.0025000000 0.0472500000 0.0025000000 0.0031299503 0.0002359950 0.0000187352 0.0000331269
0.0527500000 0.0025000000 0.0495000000 0.0025000000 0.0035099802 0.0002511137 0.0000287326 0.0000312737
0.0565000000 0.0025000000 0.0527500000 0.0025000000 0.0040056675 0.0002694837 0.0000310288 0.0000292727
0.0580000000 0.0025000000 0.0557500000 0.0025000000 0.0043492952 0.0002809805 0.0000178808 0.0000281028
0.0620000000 0.0025000000 0.0592500000 0.0025000000 0.0049405189 0.0003010181 0.0000205025 0.0000263663
0.0470000000 0.0025000000 0.0440000000 0.0025000000 0.0015278305 0.0001244161 0.0000220940 0.0000260535
0.0307500000 0.0025000000 0.0292500000 0.0025000000 0.0011681784 0.0001395287 0.0000222097 0.0000523654
