#R1 err_R1 R2 err_R2 R_theo*I err_(R_theo*I) B_e err_B_e
0.041 0.003 0.040 0.003 0.00223 0.00020 0.00001 0.00004
0.044 0.003 0.042 0.003 0.00243 0.00021 0.00002 0.00004
0.046 0.003 0.045 0.003 0.00278 0.00022 0.00001 0.00004
0.049 0.003 0.047 0.003 0.00313 0.00024 0.00002 0.00003
0.053 0.003 0.050 0.003 0.0035 0.0003 0.00003 0.00003
0.057 0.003 0.053 0.003 0.0040 0.0003 0.00003 0.00003
0.058 0.003 0.056 0.003 0.0043 0.0003 0.00002 0.00003
0.062 0.003 0.059 0.003 0.0049 0.0003 0.00002 0.00003
0.047 0.003 0.044 0.003 0.00153 0.00012 0.00002 0.00003
0.031 0.003 0.029 0.003 0.00117 0.00014 0.00002 0.00005
