#v_up err_v_up v_0 err_v_0 v_down err_v_down
0.000157 0.000009 0.000169 0.000010 0.00057 0.00012
0.000202 0.000020 0.00048 0.00012 0.0011 0.0006
0.0013 0.0009 0.00038 0.00007 0.003 0.003
0.000110 0.000006 0.000145 0.000010 0.00035 0.00006
0.0009 0.0003 0.000245 0.000017 0.0014 0.0007
0.00074 0.00019 0.00034 0.00004 0.0012 0.0005
0.0008 0.0003 0.000181 0.000016 0.0012 0.0007
0.00068 0.00023 0.000192 0.000018 0.0014 0.0010
0.00054 0.00015 0.000156 0.000012 0.00058 0.00017
0.000157 0.000006 0.0000546 0.0000007 0.000261 0.000016
0.00001837 0.00000017 0.0000388 0.0000008 0.000111 0.000006
0.0000307 0.0000003 0.0000406 0.0000006 0.000114 0.000005
0.0000676 0.0000016 0.0000707 0.0000018 0.000201 0.000014
