#I err_I U err_U R1 err_R1 R2 err_R2
1.1600000000 0.0100000000 110.0000000000 1.0000000000 0.0825000000 0.0050000000 0.0805000000 0.0050000000
1.1600000000 0.0100000000 125.0000000000 1.0000000000 0.0870000000 0.0050000000 0.0830000000 0.0050000000
1.1600000000 0.0100000000 144.0000000000 1.0000000000 0.0925000000 0.0050000000 0.0895000000 0.0050000000
1.1600000000 0.0100000000 168.0000000000 1.0000000000 0.0985000000 0.0050000000 0.0945000000 0.0050000000
1.1600000000 0.0100000000 185.0000000000 1.0000000000 0.1055000000 0.0050000000 0.0990000000 0.0050000000
1.1600000000 0.0100000000 210.0000000000 1.0000000000 0.1130000000 0.0050000000 0.1055000000 0.0050000000
1.1600000000 0.0100000000 230.0000000000 1.0000000000 0.1160000000 0.0050000000 0.1115000000 0.0050000000
1.1600000000 0.0100000000 250.0000000000 1.0000000000 0.1240000000 0.0050000000 0.1185000000 0.0050000000
0.8600000000 0.0100000000 80.0000000000 1.0000000000 0.0940000000 0.0050000000 0.0880000000 0.0050000000
1.1400000000 0.0100000000 59.0000000000 1.0000000000 0.0615000000 0.0050000000 0.0585000000 0.0050000000
