#I err_I U err_U R1 err_R1 R2 err_R2 B_e err_B_e
1.1600000000 0.0100000000 110.0000000000 1.0000000000 0.0412500000 0.0025000000 0.0402500000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 125.0000000000 1.0000000000 0.0435000000 0.0025000000 0.0415000000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 144.0000000000 1.0000000000 0.0462500000 0.0025000000 0.0447500000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 168.0000000000 1.0000000000 0.0492500000 0.0025000000 0.0472500000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 185.0000000000 1.0000000000 0.0527500000 0.0025000000 0.0495000000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 210.0000000000 1.0000000000 0.0565000000 0.0025000000 0.0527500000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 230.0000000000 1.0000000000 0.0580000000 0.0025000000 0.0557500000 0.0025000000 0.0000214 0.0000101
1.1600000000 0.0100000000 250.0000000000 1.0000000000 0.0620000000 0.0025000000 0.0592500000 0.0025000000 0.0000214 0.0000101
0.8600000000 0.0100000000 80.0000000000 1.0000000000 0.0470000000 0.0025000000 0.0440000000 0.0025000000 0.0000214 0.0000101
1.1400000000 0.0100000000 59.0000000000 1.0000000000 0.0307500000 0.0025000000 0.0292500000 0.0025000000 0.0000214 0.0000101
