#U err_U R_theo*I err_R_theo*I
110.0000000000 1.0000000000 0.0022337802 0.0001977104
125.0000000000 1.0000000000 0.0024277995 0.0002066964
144.0000000000 1.0000000000 0.0027842148 0.0002218360
168.0000000000 1.0000000000 0.0031299503 0.0002359950
185.0000000000 1.0000000000 0.0035099802 0.0002511137
210.0000000000 1.0000000000 0.0040056675 0.0002694837
230.0000000000 1.0000000000 0.0043492952 0.0002809805
250.0000000000 1.0000000000 0.0049405189 0.0003010181
80.0000000000 1.0000000000 0.0015278305 0.0001244161
59.0000000000 1.0000000000 0.0011681784 0.0001395287
