#t_up_mean	t_up_err	t_mid_mean	t_mid_err	t_down_mean	t_down_err
3.1900	0.1768	2.9500	0.1768	0.8750	0.1768
2.4800	0.2500	1.0400	0.2500	0.4400	0.2500
0.3800	0.2500	1.3200	0.2500	0.1900	0.2500
4.5600	0.2500	3.4600	0.2500	1.4400	0.2500
0.5300	0.1443	2.0400	0.1443	0.3650	0.1768
0.6750	0.1768	1.4600	0.1768	0.4100	0.1768
0.6600	0.2500	2.7700	0.2500	0.4100	0.2500
0.7400	0.2500	2.6000	0.2500	0.3500	0.2500
0.9200	0.2500	3.2100	0.2500	0.8600	0.2500
3.1924	0.1213	9.1594	0.1213	1.9182	0.1213
27.2200	0.2500	12.8800	0.2500	4.5100	0.2500
16.3000	0.1768	12.3150	0.1768	4.3750	0.1768
7.3950	0.1768	7.0700	0.1768	2.4850	0.1768
