#r err_r Ne err_Ne
0.0013983064 0.0001952144 0.0000001949 0.0000000816
0.0020993705 0.0007254092 0.0000006597 0.0000006838
0.0024907743 0.0033781994 0.0000011017 0.0000044826
0.0010583756 0.0001349417 0.0000000845 0.0000000323
0.0014180247 0.0011829172 0.0000002033 0.0000005087
0.0015024684 0.0008795158 0.0000002418 0.0000004246
0.0014758162 0.0012732325 0.0000002292 0.0000005931
0.0018841202 0.0013083421 0.0000004768 0.0000009934
0.0004228226 0.0012514178 0.0000000054 0.0000000479
0.0007003889 0.0000589880 0.0000000245 0.0000000062
0.0006603930 0.0000219468 0.0000000205 0.0000000020
0.0006278742 0.0000173858 0.0000000176 0.0000000015
0.0007936600 0.0000427927 0.0000000356 0.0000000058
