#Ne err_Ne r err_r e err_e
0.00000000000000001208 0.00000000000000000377 0.0000013982 0.0000001952 1.3e-19 0.5e-19
0.00000000000000004090 0.00000000000000003160 0.0000020993 0.0000007254 1.3e-19 0.5e-19
0.00000000000000006830 0.00000000000000020713 0.0000024906 0.0000033780 1.3e-19 0.5e-19
0.00000000000000000524 0.00000000000000000149 0.0000010583 0.0000001349 1.3e-19 0.5e-19
0.00000000000000001260 0.00000000000000002351 0.0000014180 0.0000011829 1.3e-19 0.5e-19
0.00000000000000001499 0.00000000000000001962 0.0000015024 0.0000008795 1.3e-19 0.5e-19
0.00000000000000001421 0.00000000000000002741 0.0000014757 0.0000012732 1.3e-19 0.5e-19
0.00000000000000002956 0.00000000000000004590 0.0000018840 0.0000013083 1.3e-19 0.5e-19
0.00000000000000000033 0.00000000000000000221 0.0000004228 0.0000012514 1.3e-19 0.5e-19
0.00000000000000000152 0.00000000000000000029 0.0000007004 0.0000000590 1.3e-19 0.5e-19
0.00000000000000000127 0.00000000000000000009 0.0000006604 0.0000000219 1.3e-19 0.5e-19
0.00000000000000000109 0.00000000000000000007 0.0000006278 0.0000000174 1.3e-19 0.5e-19
0.00000000000000000221 0.00000000000000000027 0.0000007936 0.0000000428 1.3e-19 0.5e-19
