#Ne err_Ne N_gerundet err_N_gerundet r-1 err_r-1 e err_e
0.00000000000000001208 0.00000000000000000377 93 47 715205.26391074236016720533 99848.42477140387927647680 0.00000000000000000013 0.00000000000000000005
0.00000000000000004090 0.00000000000000003160 315 272 476349.25927690183743834496 164599.51063662391970865428 0.00000000000000000013 0.00000000000000000005
0.00000000000000006830 0.00000000000000020713 525 1607 401509.67638320085825398564 544567.44833471963647753000 0.00000000000000000013 0.00000000000000000005
0.00000000000000000524 0.00000000000000000149 40 20 944911.65076065377797931433 120446.54794256087916437536 0.00000000000000000013 0.00000000000000000005
0.00000000000000001260 0.00000000000000002351 97 185 705218.61777150910347700119 588295.55921150778885930777 0.00000000000000000013 0.00000000000000000005
0.00000000000000001499 0.00000000000000001962 115 158 665601.70394036208745092154 389641.04007957165595144033 0.00000000000000000013 0.00000000000000000005
0.00000000000000001421 0.00000000000000002741 109 215 677644.50769126520026475191 584656.08673342748079448938 0.00000000000000000013 0.00000000000000000005
0.00000000000000002956 0.00000000000000004590 227 364 530785.56263269635383039713 368591.69405114470282569528 0.00000000000000000013 0.00000000000000000005
0.00000000000000000033 0.00000000000000000221 3 18 2365184.48438978241756558418 7000453.79320097900927066803 0.00000000000000000013 0.00000000000000000005
0.00000000000000000152 0.00000000000000000029 12 6 1427755.56824671616777777672 120270.67179691069759428501 0.00000000000000000013 0.00000000000000000005
0.00000000000000000127 0.00000000000000000009 10 4 1514233.79769836482591927052 50214.59747061506641330197 0.00000000000000000013 0.00000000000000000005
0.00000000000000000109 0.00000000000000000007 8 4 1592863.96941701159812510014 44147.55187616438342956826 0.00000000000000000013 0.00000000000000000005
0.00000000000000000221 0.00000000000000000027 17 7 1260080.64516129018738865852 67957.97834287199657410383 0.00000000000000000013 0.00000000000000000005
