#r-1 err_r-1 e_S^(2/3) err_e_S^(2/3)
715205.2639107423601672053337097 99848.4247714038792764768004417 0.0000000000002564814678452 0.0000000000001015619083938
476349.2592769018374383449554443 164599.5106366239197086542844772 0.0000000000002564140605285 0.0000000000001980689946114
401509.6763832008582539856433868 544567.4483347196364775300025940 0.0000000000002567483138847 0.0000000000007375307719931
944911.6507606537779793143272400 120446.5479425608791643753647804 0.0000000000002579373282864 0.0000000000000989104472604
705218.6177715091034770011901855 588295.5592115077888593077659607 0.0000000000002564873047631 0.0000000000004562289035261
665601.7039403620874509215354919 389641.0400795716559514403343201 0.0000000000002570805349789 0.0000000000003252194420069
677644.5076912652002647519111633 584656.0867334274807944893836975 0.0000000000002571057088738 0.0000000000004728822831339
530785.5626326963538303971290588 368591.6940511447028256952762604 0.0000000000002569127838159 0.0000000000003823082107165
#2365184.4843897824175655841827393 7000453.7932009790092706680297852 0.0000000000002295770424666 0.0000000000013761811558822
1427755.5682467161677777767181396 120270.6717969106975942850112915 0.0000000000002522173129888 0.0000000000000899851023407
1514233.7976983648259192705154419 50214.5974706150664133019745350 0.0000000000002526596056565 0.0000000000000684251079551
1592863.9694170115981251001358032 44147.5518761643834295682609081 0.0000000000002647835541252 0.0000000000000889862259009
1260080.6451612901873886585235596 67957.9783428719965741038322449 0.0000000000002566229943873 0.0000000000000734808939112
