#Feld-Nr,#Feld-Nr,e,e,f,f,g,g
1.0,0.028,48.4,1.3552,8.5,0.238,4.2,0.1176
2.0,0.056,43.9,1.2292,9.3,0.2604,5.5,0.154
3.0,0.084,21.9,0.6132,8.5,0.238,7.7,0.2156
4.0,0.112,8.5,0.238,6.5,0.182,6.9,0.1932
5.0,0.14,117.0,3.276,14.7,0.4115999999999999,5.8,0.1624
6.0,0.168,130.0,3.64,16.2,0.4536,9.1,0.2547999999999999
7.0,0.196,99.2,2.7776,13.0,0.364,17.0,0.476
8.0,0.224,55.8,1.5624,8.8,0.2464,21.6,0.6048
9.0,0.252,227.0,6.356,78.6,2.2008,21.5,0.602
10.0,0.28,260.0,7.28,86.2,2.4136,15.2,0.4256
11.0,0.308,214.0,5.992,71.9,2.0132000000000003,16.2,0.4536
12.0,0.336,92.3,2.5844,13.8,0.3864,39.8,1.1143999999999998
13.0,0.364,136.0,3.808,24.1,0.6748000000000001,50.7,1.4196000000000002
14.0,0.392,200.0,5.6000000000000005,54.6,1.5288000000000002,39.8,1.1143999999999998
15.0,0.42,198.0,5.5440000000000005,87.0,2.436,20.7,0.5796
16.0,0.448,99.1,2.7748,49.7,1.3916000000000002,10.4,0.2912
17.0,0.476,8.5,0.238,10.2,0.2855999999999999,30.3,0.8484
18.0,0.504,17.7,0.4956,13.0,0.364,52.4,1.4672
19.0,0.532,25.0,0.7000000000000001,11.8,0.3304,54.8,1.5344
20.0,0.56,10.4,0.2912,7.7,0.2156,25.8,0.7224
