m,err_m,phi [rad],err_phi [rad],g [m],err_g [m]
1.0,0.0,0.04355,0.0003535534,9.941e-06,6e-09
2.0,0.0,0.08695,0.0003535534,9.941e-06,6e-09
3.0,0.0,0.1308,0.0003535534,9.941e-06,6e-09
4.0,0.0,0.1746,0.0003535534,9.941e-06,6e-09
5.0,0.0,0.2191,0.0003535534,9.941e-06,6e-09
6.0,0.0,0.2637,0.0003535534,9.941e-06,6e-09
7.0,0.0,0.309,0.0007071068,9.941e-06,6e-09
8.0,0.0,0.35505,0.0007071068,9.941e-06,6e-09
9.0,0.0,0.40165,0.0007071068,9.941e-06,6e-09
10.0,0.0,0.44975,0.0014142136,9.941e-06,6e-09
11.0,0.0,0.49815,0.0014142136,9.941e-06,6e-09
