m,err_m,phi [rad],err_phi [rad],lambda [m],err_lambda [m]
1.0,0.0,0.04355,0.0003535534,4.329e-07,3.5e-09
2.0,0.0,0.08695,0.0003535534,4.32e-07,1.8e-09
3.0,0.0,0.1308,0.0003535534,4.331e-07,1.2e-09
4.0,0.0,0.1746,0.0003535534,4.334e-07,9e-10
5.0,0.0,0.2191,0.0003535534,4.347e-07,7e-10
6.0,0.0,0.2637,0.0003535534,4.356e-07,6e-10
7.0,0.0,0.309,0.0007071068,4.371e-07,1e-09
8.0,0.0,0.35505,0.0007071068,4.389e-07,9e-10
9.0,0.0,0.40165,0.0007071068,4.407e-07,8e-10
10.0,0.0,0.44975,0.0014142136,4.433e-07,1.4e-09
11.0,0.0,0.49815,0.0014142136,4.456e-07,1.3e-09
