#phi_A [°]	del_phi_A [°]	U_-90 [V]	del_U_-90 [V]	U_+90 [V]	del_U_-90 [V]
-90.0	0.5	9.71	0.03	9.57	0.03
-80.0	0.5	9.52	0.03	9.49	0.03
-70.0	0.5	8.93	0.03	8.89	0.03
-60.0	0.5	7.97	0.03	7.85	0.03
-50.0	0.5	6.64	0.03	6.56	0.03
-40.0	0.5	5.21	0.03	5.18	0.03
-30.0	0.5	3.80	0.03	3.68	0.03
-20.0	0.5	2.49	0.03	2.51	0.03
-10.0	0.5	1.69	0.03	1.65	0.03
0.0	0.5	1.31	0.03	1.30	0.03
10.0	0.5	1.44	0.03	1.42	0.03
20.0	0.5	2.08	0.03	2.04	0.03
30.0	0.5	3.11	0.03	3.05	0.03
40.0	0.5	4.49	0.03	4.37	0.03
50.0	0.5	5.91	0.03	5.80	0.03
60.0	0.5	7.24	0.03	7.20	0.03
70.0	0.5	8.45	0.03	8.45	0.03
80.0	0.5	9.26	0.03	9.20	0.03
90.0	0.5	9.60	0.03	9.56	0.03
