#phi err_phi U err_U
-5.0000000000 2.0615528128 9.7099945500 0.0300000000
5.0000000000 2.0615528128 9.5199945500 0.0300000000
15.0000000000 2.0615528128 8.9299945500 0.0300000000
25.0000000000 2.0615528128 7.9699945500 0.0300000000
35.0000000000 2.0615528128 6.6399945500 0.0300000000
45.0000000000 2.0615528128 5.2099945500 0.0300000000
55.0000000000 2.0615528128 3.7999945500 0.0300000000
65.0000000000 2.0615528128 2.4899945500 0.0300000000
75.0000000000 2.0615528128 1.6899945500 0.0300000000
85.0000000000 2.0615528128 1.3099945500 0.0300000000
95.0000000000 2.0615528128 1.4399945500 0.0300000000
105.0000000000 2.0615528128 2.0799945500 0.0300000000
115.0000000000 2.0615528128 3.1099945500 0.0300000000
125.0000000000 2.0615528128 4.4899945500 0.0300000000
135.0000000000 2.0615528128 5.9099945500 0.0300000000
145.0000000000 2.0615528128 7.2399945500 0.0300000000
155.0000000000 2.0615528128 8.4499945500 0.0300000000
165.0000000000 2.0615528128 9.2599945500 0.0300000000
175.0000000000 2.0615528128 9.5999945500 0.0300000000
185.0000000000 2.0615528128 9.5699945500 0.0300000000
185.0000000000 2.0615528128 9.4899945500 0.0300000000
195.0000000000 2.0615528128 8.8899945500 0.0300000000
205.0000000000 2.0615528128 7.8499945500 0.0300000000
215.0000000000 2.0615528128 6.5599945500 0.0300000000
225.0000000000 2.0615528128 5.1799945500 0.0300000000
235.0000000000 2.0615528128 3.6799945500 0.0300000000
245.0000000000 2.0615528128 2.5099945500 0.0300000000
255.0000000000 2.0615528128 1.6499945500 0.0300000000
265.0000000000 2.0615528128 1.2999945500 0.0300000000
275.0000000000 2.0615528128 1.4199945500 0.0300000000
285.0000000000 2.0615528128 2.0399945500 0.0300000000
295.0000000000 2.0615528128 3.0499945500 0.0300000000
305.0000000000 2.0615528128 4.3699945500 0.0300000000
315.0000000000 2.0615528128 5.7999945500 0.0300000000
325.0000000000 2.0615528128 7.1999945500 0.0300000000
335.0000000000 2.0615528128 8.4499945500 0.0300000000
345.0000000000 2.0615528128 9.1999945500 0.0300000000
355.0000000000 2.0615528128 9.5599945500 0.0300000000
