#phi err_phi U err_U
-5.0 2.1 9.71 0.03
5.0 2.1 9.52 0.03
15.0 2.1 8.93 0.03
25.0 2.1 7.97 0.03
35.0 2.1 6.64 0.03
45.0 2.1 5.21 0.03
55.0 2.1 3.80 0.03
65.0 2.1 2.49 0.03
75.0 2.1 1.69 0.03
85.0 2.1 1.31 0.03
95.0 2.1 1.44 0.03
105.0 2.1 2.08 0.03
115.0 2.1 3.11 0.03
125.0 2.1 4.49 0.03
135.0 2.1 5.91 0.03
145.0 2.1 7.24 0.03
155.0 2.1 8.45 0.03
165.0 2.1 9.26 0.03
175.0 2.1 9.60 0.03
185.0 2.1 9.57 0.03
185.0 2.1 9.49 0.03
195.0 2.1 8.89 0.03
205.0 2.1 7.85 0.03
215.0 2.1 6.56 0.03
225.0 2.1 5.18 0.03
235.0 2.1 3.68 0.03
245.0 2.1 2.51 0.03
255.0 2.1 1.65 0.03
265.0 2.1 1.30 0.03
275.0 2.1 1.42 0.03
285.0 2.1 2.04 0.03
295.0 2.1 3.05 0.03
305.0 2.1 4.37 0.03
315.0 2.1 5.80 0.03
325.0 2.1 7.20 0.03
335.0 2.1 8.45 0.03
345.0 2.1 9.20 0.03
355.0 2.1 9.56 0.03
