#T[K]	err_T[K]	U_spiegel[mV]	err_U_spiegel[mV]	U_matt[mV]	err_U_matt[mV]	U_weiß[mV]	err_U_weiß[mV]	U_schwarz[mV]	err_U_schwarz[mV]	T_0[K]	err_T_0[K]
298	1	0.0	0.1	0.0	0.1	3.0	0.1	2.9	0.1	297	1
303	1	0.5	0.1	1.2	0.1	7.9	0.1	7.6	0.1	297	1
308	1	0.8	0.1	2.1	0.1	13.0	0.1	12.6	0.1	297	1
313	1	1.5	0.1	3.1	0.1	18.2	0.1	18.1	0.1	297	1
323	1	2.7	0.1	5.6	0.1	29.0	0.1	28.7	0.1	297	1
328	1	4.0	0.1	7.0	0.1	36.7	0.1	36.1	0.1	297	1
333	1	5.2	0.1	8.2	0.1	42.9	0.1	41.8	0.1	297	1
343	1	6.5	0.1	11.5	0.1	55.9	0.1	56.1	0.1	297	1
353	1	8.4	0.1	14.4	0.1	69.7	0.1	69.6	0.1	297	1
363	1	11.2	0.1	18.0	0.1	85.8	0.1	85.5	0.1	297	1
