#T^4-T0^4 err_T^4-T0^4 Phi/A_sp[W/m^2] err_Phi/A_sp[W/m^2] Phi/A_ma[W/m^2] err_Phi/A_ma[W/m^2] Phi/A_we[W/m^2] err_Phi/A_we[W/m^2] Phi/A_sw[W/m^2] err_Phi/A_sw[W/m^2]
105322735.00 74475787.49 0.00 0.03 0.00 0.03 1.00 0.03 0.97 0.03
648064800.00 76424792.28 0.17 0.03 0.40 0.03 2.63 0.03 2.53 0.03
1218350815.00 78486612.81 0.27 0.03 0.70 0.03 4.33 0.03 4.20 0.03
1817097280.00 80663204.48 0.50 0.03 1.03 0.03 6.07 0.03 6.03 0.03
3103712560.00 85367727.57 0.90 0.03 1.87 0.03 9.67 0.03 9.57 0.03
3793489375.00 87898813.53 1.33 0.03 2.33 0.03 12.23 0.03 12.03 0.03
4515542640.00 90551007.45 1.73 0.03 2.73 0.03 14.30 0.03 13.93 0.03
6060459520.00 96223752.30 2.17 0.03 3.83 0.03 18.63 0.03 18.70 0.03
7746575200.00 102395179.08 2.80 0.03 4.80 0.03 23.23 0.03 23.20 0.03
9582241680.00 109073430.60 3.73 0.03 6.00 0.03 28.60 0.03 28.50 0.03
