#B err_B R err_R z err_z x_0 err_x G err_G
6.2 0.1 44.5 0.05 58.05 0.05 30.0000 0.0500 2.3 0.05  
6.4 0.1 44.8 0.05 60.00 0.05 30.0000 0.0500 2.3 0.05  
6.6 0.1 44.8 0.05 61.00 0.05 30.0000 0.0500 2.3 0.05  
6.4 0.1 45.1 0.05 61.00 0.05 30.0000 0.0500 2.3 0.05  
5.2 0.1 45.7 0.05 59.10 0.05 30.0000 0.0500 2.3 0.05  
5.4 0.1 46.0 0.05 60.25 0.05 30.0000 0.0500 2.3 0.05 
5.8 0.1 46.3 0.05 62.00 0.05 30.0000 0.0500 2.3 0.05 
5.5 0.1 46.6 0.05 61.40 0.05 30.0000 0.0500 2.3 0.05  
4.5 0.1 46.9 0.05 59.10 0.05 30.0000 0.0500 2.3 0.05  
4.5 0.1 47.9 0.05 59.20 0.05 30.0000 0.0500 2.3 0.05  









