x,err_x,z,err_z,y,err_y
14.5,0.0707106781,13.55,0.0707106781,2.6956521739,0.0729688433
14.8,0.0707106781,15.2,0.0707106781,2.7826086957,0.0744955028
14.8,0.0707106781,16.2,0.0707106781,2.8695652174,0.076038508
15.1,0.0707106781,15.9,0.0707106781,2.7826086957,0.0744955028
15.7,0.0707106781,13.4,0.0707106781,2.2608695652,0.0656202456
16.0,0.0707106781,14.25,0.0707106781,2.347826087,0.067047818
16.3,0.0707106781,15.7,0.0707106781,2.5217391304,0.06996883
16.6,0.0707106781,14.8,0.0707106781,2.3913043478,0.0677701012
16.9,0.0707106781,12.2,0.0707106781,1.9565217391,0.0608228754
17.9,0.0707106781,11.3,0.0707106781,1.9565217391,0.0608228754
