m,err_m,alpha_r,err_alpha_r,alpha_l,err_alpha_l, g [m], err_g [m]
1,0,45.65,0.05,54.32,0.05,1.00709e-05,0.000000005
2,0,41.3,0.05,58.67,0.05,1.00709e-05,0.000000005
3,0,36.97,0.05,63.03,0.05,1.00709e-05,0.000000005
4,0,32.58,0.05,67.42,0.05,1.00709e-05,0.000000005
5,0,28.15,0.05,71.86,0.05,1.00709e-05,0.000000005
6,0,23.68,0.05,76.3,0.05,1.00709e-05,0.000000005
7,0,19.2,0.1,80.85,0.1,1.00709e-05,0.000000005
8,0,14.6,0.1,85.45,0.1,1.00709e-05,0.000000005
9,0,9.95,0.15,90.1,0.15,1.00709e-05,0.000000005
10,0,5.2,0.2,94.95,0.2,1.00709e-05,0.000000005
11,0,0.2,0.2,99.7,0.2,1.00709e-05,0.000000005
