m,err_m,phi [rad],err_phi [rad],g [m],err_g [m]
1.0,0.0,0.04335,0.0003535534,1.00709e-05,5e-09
2.0,0.0,0.08685,0.0003535534,1.00709e-05,5e-09
3.0,0.0,0.1303,0.0003535534,1.00709e-05,5e-09
4.0,0.0,0.1742,0.0003535534,1.00709e-05,5e-09
5.0,0.0,0.21855,0.0003535534,1.00709e-05,5e-09
6.0,0.0,0.2631,0.0003535534,1.00709e-05,5e-09
7.0,0.0,0.30825,0.0007071068,1.00709e-05,5e-09
8.0,0.0,0.35425,0.0007071068,1.00709e-05,5e-09
9.0,0.0,0.40075,0.0010606602,1.00709e-05,5e-09
10.0,0.0,0.44875,0.0014142136,1.00709e-05,5e-09
11.0,0.0,0.4975,0.0014142136,1.00709e-05,5e-09
