#phi err_phi U err_U U_0 err_U_0
0 0.5 8.59 0.01 0.008 0.001
5 0.5 8.32 0.01 0.008 0.001
10 0.5 8 0.01 0.008 0.001
20 0.5 7.13 0.01 0.008 0.001
30 0.5 5.88 0.01 0.008 0.001
40 0.5 4.58 0.01 0.008 0.001
50 0.5 3.28 0.01 0.008 0.001
60 0.5 2.12 0.01 0.008 0.001
70 0.5 1.34 0.01 0.008 0.001
80 0.5 0.96 0.01 0.008 0.001
85 0.5 0.95 0.01 0.008 0.001
90 0.5 1.06 0.01 0.008 0.001
95 0.5 1.28 0.01 0.008 0.001
100 0.5 1.6 0.01 0.008 0.001
110 0.5 2.6 0.01 0.008 0.001
120 0.5 3.83 0.01 0.008 0.001
130 0.5 5.2 0.01 0.008 0.001
140 0.5 6.75 0.01 0.008 0.001
150 0.5 8.13 0.01 0.008 0.001
160 0.5 8.95 0.01 0.008 0.001
170 0.5 9.33 0.01 0.008 0.001
175 0.5 9.35 0.01 0.008 0.001
180 0.5 9.29 0.01 0.008 0.001
185 0.5 9.24 0.01 0.008 0.001
190 0.5 8.89 0.01 0.008 0.001
200 0.5 7.94 0.01 0.008 0.001
210 0.5 6.64 0.01 0.008 0.001
220 0.5 5.15 0.01 0.008 0.001
230 0.5 3.73 0.01 0.008 0.001
240 0.5 2.41 0.01 0.008 0.001
250 0.5 1.52 0.01 0.008 0.001
260 0.5 1.06 0.01 0.008 0.001
265 0.5 1.02 0.01 0.008 0.001
270 0.5 1.12 0.01 0.008 0.001
275 0.5 1.33 0.01 0.008 0.001
280 0.5 1.66 0.01 0.008 0.001
290 0.5 2.71 0.01 0.008 0.001
300 0.5 4.04 0.01 0.008 0.001
310 0.5 5.54 0.01 0.008 0.001
320 0.5 6.95 0.01 0.008 0.001
330 0.5 8.2 0.01 0.008 0.001
340 0.5 9.1 0.01 0.008 0.001
350 0.5 9.5 0.01 0.008 0.001
355 0.5 9.51 0.01 0.008 0.001
360 0.5 9.42 0.01 0.008 0.001
