phi,err_phi,U,err_U
0.0,0.5,8.582,0.0100498756
5.0,0.5,8.312,0.0100498756
10.0,0.5,7.992,0.0100498756
20.0,0.5,7.122,0.0100498756
30.0,0.5,5.872,0.0100498756
40.0,0.5,4.572,0.0100498756
50.0,0.5,3.272,0.0100498756
60.0,0.5,2.112,0.0100498756
70.0,0.5,1.332,0.0100498756
80.0,0.5,0.952,0.0100498756
85.0,0.5,0.942,0.0100498756
90.0,0.5,1.052,0.0100498756
95.0,0.5,1.272,0.0100498756
100.0,0.5,1.592,0.0100498756
110.0,0.5,2.592,0.0100498756
120.0,0.5,3.822,0.0100498756
130.0,0.5,5.192,0.0100498756
140.0,0.5,6.742,0.0100498756
150.0,0.5,8.122,0.0100498756
160.0,0.5,8.942,0.0100498756
170.0,0.5,9.322,0.0100498756
175.0,0.5,9.342,0.0100498756
180.0,0.5,9.282,0.0100498756
185.0,0.5,9.232,0.0100498756
190.0,0.5,8.882,0.0100498756
200.0,0.5,7.932,0.0100498756
210.0,0.5,6.632,0.0100498756
220.0,0.5,5.142,0.0100498756
230.0,0.5,3.722,0.0100498756
240.0,0.5,2.402,0.0100498756
250.0,0.5,1.512,0.0100498756
260.0,0.5,1.052,0.0100498756
265.0,0.5,1.012,0.0100498756
270.0,0.5,1.112,0.0100498756
275.0,0.5,1.322,0.0100498756
280.0,0.5,1.652,0.0100498756
290.0,0.5,2.702,0.0100498756
300.0,0.5,4.032,0.0100498756
310.0,0.5,5.532,0.0100498756
320.0,0.5,6.942,0.0100498756
330.0,0.5,8.192,0.0100498756
340.0,0.5,9.092,0.0100498756
350.0,0.5,9.492,0.0100498756
355.0,0.5,9.502,0.0100498756
360.0,0.5,9.412,0.0100498756
