#phi err_phi U err_U
0.0000000000 0.5000000000 8.5820000000 0.0100498756
5.0000000000 0.5000000000 8.3120000000 0.0100498756
10.0000000000 0.5000000000 7.9920000000 0.0100498756
20.0000000000 0.5000000000 7.1220000000 0.0100498756
30.0000000000 0.5000000000 5.8720000000 0.0100498756
40.0000000000 0.5000000000 4.5720000000 0.0100498756
50.0000000000 0.5000000000 3.2720000000 0.0100498756
60.0000000000 0.5000000000 2.1120000000 0.0100498756
70.0000000000 0.5000000000 1.3320000000 0.0100498756
80.0000000000 0.5000000000 0.9520000000 0.0100498756
85.0000000000 0.5000000000 0.9420000000 0.0100498756
90.0000000000 0.5000000000 1.0520000000 0.0100498756
95.0000000000 0.5000000000 1.2720000000 0.0100498756
100.0000000000 0.5000000000 1.5920000000 0.0100498756
110.0000000000 0.5000000000 2.5920000000 0.0100498756
120.0000000000 0.5000000000 3.8220000000 0.0100498756
130.0000000000 0.5000000000 5.1920000000 0.0100498756
140.0000000000 0.5000000000 6.7420000000 0.0100498756
150.0000000000 0.5000000000 8.1220000000 0.0100498756
160.0000000000 0.5000000000 8.9420000000 0.0100498756
170.0000000000 0.5000000000 9.3220000000 0.0100498756
175.0000000000 0.5000000000 9.3420000000 0.0100498756
180.0000000000 0.5000000000 9.2820000000 0.0100498756
185.0000000000 0.5000000000 9.2320000000 0.0100498756
190.0000000000 0.5000000000 8.8820000000 0.0100498756
200.0000000000 0.5000000000 7.9320000000 0.0100498756
210.0000000000 0.5000000000 6.6320000000 0.0100498756
220.0000000000 0.5000000000 5.1420000000 0.0100498756
230.0000000000 0.5000000000 3.7220000000 0.0100498756
240.0000000000 0.5000000000 2.4020000000 0.0100498756
250.0000000000 0.5000000000 1.5120000000 0.0100498756
260.0000000000 0.5000000000 1.0520000000 0.0100498756
265.0000000000 0.5000000000 1.0120000000 0.0100498756
270.0000000000 0.5000000000 1.1120000000 0.0100498756
275.0000000000 0.5000000000 1.3220000000 0.0100498756
280.0000000000 0.5000000000 1.6520000000 0.0100498756
290.0000000000 0.5000000000 2.7020000000 0.0100498756
300.0000000000 0.5000000000 4.0320000000 0.0100498756
310.0000000000 0.5000000000 5.5320000000 0.0100498756
320.0000000000 0.5000000000 6.9420000000 0.0100498756
330.0000000000 0.5000000000 8.1920000000 0.0100498756
340.0000000000 0.5000000000 9.0920000000 0.0100498756
350.0000000000 0.5000000000 9.4920000000 0.0100498756
355.0000000000 0.5000000000 9.5020000000 0.0100498756
360.0000000000 0.5000000000 9.4120000000 0.0100498756
