#t err_t U err_U U_max err_U_max
10 0.5 0.158 0.001 0.278 0.001
20 0.5 0.204 0.001 0.278 0.001
30 0.5 0.221 0.001 0.278 0.001
40 0.5 0.231 0.001 0.278 0.001
50 0.5 0.237 0.001 0.278 0.001
60 0.5 0.243 0.001 0.278 0.001
70 0.5 0.246 0.001 0.278 0.001
80 0.5 0.249 0.001 0.278 0.001
90 0.5 0.253 0.001 0.278 0.001
100 0.5 0.255 0.001 0.278 0.001
110 0.5 0.257 0.001 0.278 0.001
120 0.5 0.259 0.001 0.278 0.001
130 0.5 0.261 0.001 0.278 0.001
140 0.5 0.262 0.001 0.278 0.001
150 0.5 0.264 0.001 0.278 0.001
160 0.5 0.265 0.001 0.278 0.001
170 0.5 0.266 0.001 0.278 0.001
180 0.5 0.267 0.001 0.278 0.001
190 0.5 0.268 0.001 0.278 0.001
200 0.5 0.269 0.001 0.278 0.001
210 0.5 0.27 0.001 0.278 0.001
220 0.5 0.271 0.001 0.278 0.001
230 0.5 0.272 0.001 0.278 0.001
240 0.5 0.273 0.001 0.278 0.001
250 0.5 0.274 0.001 0.278 0.001
260 0.5 0.275 0.001 0.278 0.001
270 0.5 0.276 0.001 0.278 0.001
280 0.5 0.277 0.001 0.278 0.001
290 0.5 0.278 0.001 0.278 0.001
300 0.5 0.278 0.001 0.278 0.001
