#t err_t U/U_max err_U/U_max
10.0000000000 0.5000000000 0.5683453237 0.0041374982
20.0000000000 0.5000000000 0.7338129496 0.0044617100
30.0000000000 0.5000000000 0.7949640288 0.0045952696
40.0000000000 0.5000000000 0.8309352518 0.0046768862
50.0000000000 0.5000000000 0.8525179856 0.0047268800
60.0000000000 0.5000000000 0.8741007194 0.0047776123
70.0000000000 0.5000000000 0.8848920863 0.0048032481
80.0000000000 0.5000000000 0.8956834532 0.0048290598
90.0000000000 0.5000000000 0.9100719424 0.0048637443
100.0000000000 0.5000000000 0.9172661871 0.0048811999
110.0000000000 0.5000000000 0.9244604317 0.0048987300
120.0000000000 0.5000000000 0.9316546763 0.0049163338
130.0000000000 0.5000000000 0.9388489209 0.0049340106
140.0000000000 0.5000000000 0.9424460432 0.0049428761
150.0000000000 0.5000000000 0.9496402878 0.0049606608
160.0000000000 0.5000000000 0.9532374101 0.0049695798
170.0000000000 0.5000000000 0.9568345324 0.0049785164
180.0000000000 0.5000000000 0.9604316547 0.0049874707
190.0000000000 0.5000000000 0.9640287770 0.0049964423
200.0000000000 0.5000000000 0.9676258993 0.0050054314
210.0000000000 0.5000000000 0.9712230216 0.0050144377
220.0000000000 0.5000000000 0.9748201439 0.0050234612
230.0000000000 0.5000000000 0.9784172662 0.0050325018
240.0000000000 0.5000000000 0.9820143885 0.0050415594
250.0000000000 0.5000000000 0.9856115108 0.0050506339
260.0000000000 0.5000000000 0.9892086331 0.0050597252
270.0000000000 0.5000000000 0.9928057554 0.0050688333
280.0000000000 0.5000000000 0.9964028777 0.0050779579
290.0000000000 0.5000000000 1.0000000000 0.0050870991
300.0000000000 0.5000000000 1.0000000000 0.0050870991
